volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
umn.31951002162048g,1872,1872,1872,1872,,,15299,0.0491638950395,0,1,149,"Vaux, Thomas Vaux,","The poems of Thomas, lord Vaux: (died 1562) Edward, earl of Oxford: (died 1694) Robert, earl of Essex: (died 1601.) and Walter, earl of Essex: (died 1576.)",bio
uiuo.ark+=13960=t7qn6pv8d,1861,1861,1861,1861,,,62302,0.996676573018,1,1,149,"Oliphant,",The house on the moor,fic
mdp.39015063024320,1867,1867,1867,1867,,,100166,0.00995763837107,0,1,149,"Lonsdale, Henry,",The worthies of Cumberland,bio
loc.ark+=13960=t4kk9dm2f,1862,1862,1862,1862,,,14849,0.0052748534752,0,1,149,"Voorhees, Daniel Wolsey,","Speech of Hon. D. W. Voorhees, of Indiana",bio
uc2.ark+=13960=t57d2r61h,1872,1872,1872,1872,,,47233,0.980252258714,1,1,149,"Sanford, D. P.,",Eunice Somers,fic
uc1.b110680,1873,1873,1873,1873,,,91629,0.0748110431679,0,1,149,"Butler, Samuel,",The fair haven,bio
uc2.ark+=13960=t84j0j87b,1871,1871,1871,1871,,,90950,0.102399150878,0,1,149,"Fitzgerald, Percy Hetherington,",The Kembles;,bio
nnc2.ark+=13960=t05x2cs3q,1863,1863,1863,1863,,,498862,0.00647057341281,0,1,149,"Cunningham, George Godfrey.",The English nation;,bio
uiuo.ark+=13960=t16m3t75r,1875,1875,1875,1875,,,44326,0.998738331491,1,1,149,"Noel, Augusta,",Owen Gwynne's great work,fic
uiuo.ark+=13960=t7rn3mn3n,1878,1878,1878,1878,,,70193,0.998597625823,1,1,149,"Hart, Fanny Wheeler.",Freda,fic
nyp.33433081785218,1876,1876,1876,1876,,,312214,0.00611313769328,0,1,149,"Tuttle, Charles R.",A new centennial history of the state of Kansas,bio
wu.89099774549,1862,1862,1862,1862,,,17814,0.931430881029,1,1,149,anonymous185,The cobler of Canterburie,fic
loc.ark+=13960=t6542v98c,1862,1862,1862,1862,,,7528,0.0410087528756,0,1,149,"Butler, William Allen,",Martin Van Buren,bio
njp.32101067174092,1861,1861,1861,1861,,,109324,0.0619840904964,0,1,148,"Lockhart, J. G.","Memoirs of the life of Sir Walter Scott, Bart",bio
nyp.33433082383880,1873,1873,1873,1873,,,255891,0.125759415516,0,1,149,"Robertson, Frederick William,","Life and letters of Frederick W. Robertson, M.A., incumbent of Trinity Chapel, Brighton, 1847-53",bio
uc1.b3322388,1875,1875,1875,1875,,,67535,0.998808495075,1,1,149,"Higgins, Alvin S.",The mishaps of Mr. Ezekiel Pelter,fic
uiuo.ark+=13960=t9w08zp3c,1876,1876,1876,1876,,,691172,0.000341956574653,0,1,149,"Power, John Carroll,","History of the early settlers of Sangamon County, Illinois",bio
njp.32101068175585,1873,1873,1873,1873,,,13632,0.598788195146,0,1,149,"Calvert, George Henry,",Mirabeau,bio
uc2.ark+=13960=fk0cv4bs2c,1867,1867,1867,1867,,,61706,0.170149543114,0,1,149,"Mudge, Zachariah Atwell,",The forest boy,bio
mdp.39015078570580,1869,1869,1869,1869,,,96019,0.946183170822,1,1,149,"Belisle, D. W.",The American family Robinson;,fic
loc.ark+=13960=t6445s14v,1865,1865,1865,1865,,,103646,0.00295954892738,0,1,149,anonymous189,"Illustrated life, campaigns and public services of Lieut. General Grant",bio
njp.32101041062835,1870,1870,1870,1870,,,204844,0.0124184584953,0,1,149,"Husack, John,",Mary queen of Scots and her accusers;,bio
dul1.ark+=13960=t3b00011n,1864,1864,1864,1864,,,15392,0.0430530799449,0,1,149,"Burrows, J. Lansing",The Christian scholar and soldier,bio
uc2.ark+=13960=t72v2f656,1872,1872,1872,1872,,,152027,0.994985399563,1,1,149,"Southworth, Emma Dorothy Eliza Nevitte,",A noble lord,fic
uva.x000612137,1865,1865,1865,1865,,,71246,0.833123159191,1,1,147,"Scott, Walter,",The Waverley novels,fic
uc2.ark+=13960=t7br8nx9r,1870,1870,1870,1870,,,154524,0.0177117313573,0,1,149,"Jones, Bence,",The life and letters of Faraday,bio
nyp.33433074970595,1878,1878,1878,1878,,,56027,0.945889066583,1,1,149,"Charles, Elizabeth Rundle,","Lapsed, but not lost",fic
loc.ark+=13960=t47p9d118,1861,1861,1861,1861,,,3447,0.00196218971769,0,1,149,"Washington, George,","Gen. Washington on the government of the United States of America and on revolution, etc",bio
loc.ark+=13960=t9v12n278,1864,1864,1864,1864,,,525054,0.185829003864,0,1,147,"Scott, Walter,","The poetical works of Sir Walter Scott, bart",bio
nyp.33433074970520,1864,1864,1864,1864,,,134654,0.980246242541,1,1,149,Author of Chronicles of the Schonberg-Cotta family.,Diary of Mrs. Kitty Trevylyan,fic
nyp.33433074937479,1870,1870,1870,1870,,,167865,0.979995199892,1,1,149,"Disraeli, Benjamin,",Henrietta Temple,fic
loc.ark+=13960=t2t43sc6n,1868,1868,1868,1868,,,93860,0.031099169065,0,1,149,"Wilson, James Grant,",The life and campaigns of Ulysses Simpson Grant,bio
nyp.33433082533708,1873,1873,1873,1873,,,119309,0.0618166685829,0,1,149,"Stevenson, William Fleming,",Praying and working;,bio
nyp.33433084128457,1873,1873,1873,1873,,,173040,0.993276759569,1,1,148,"Gibbon, Charles,",Robin Gray,fic
nc01.ark+=13960=t3xs63v71,1862,1862,1862,1862,,,18784,0.978044626427,1,1,149,"Fanny,",The orphan's home mittens; and George's account of the battle of Roanoke Island,fic
nyp.33433074880216,1876,1876,1876,1876,,,156832,0.9923539297,1,1,148,"Marryat, Florence,",Open! Sesame!,fic
uiuo.ark+=13960=t3jw91d2q,1876,1876,1876,1876,,,50848,0.793554588082,1,1,149,"Tregenna, Charles,",Lascare,fic
uc1.b4101416,1875,1875,1875,1875,,,68692,0.900571167573,1,1,149,"Pinkerton, Allan,",Claude Melnotte as a detective,fic
uc2.ark+=13960=t4rj4g518,1867,1867,1867,1867,,,108488,0.994849330981,1,1,149,"Jerrold, Douglas William,",The story of a feather,fic
uc1.31822011695608,1876,1876,1876,1876,,,38210,0.006101760394,0,1,149,"Fétis, François-Joseph,",Biographical notice of Nicolo Paganini,bio
yale.39002014778360,1875,1875,1875,1875,,,84250,0.00467787488176,0,1,149,"Strauss, Gustave Louis Maurice,",Men who have made the new German empire,bio
uc1.b4104315,1878,1878,1878,1878,,,241582,0.936441804817,1,1,149,anonymous198,Ponce de Leon,fic
nyp.33433061845768,1867,1867,1867,1867,,,89498,0.0061481942336,0,1,149,"Beard, Richard,",Brief biographical sketches of some of the early ministers of the Cumberland Presbyterian Church,bio
mdp.39015006953163,1878,1878,1878,1878,,,140876,0.917261232946,1,1,149,"Bede, Cuthbert,",The adventures of Mr. Verdant Green,fic
yale.39002014367461,1861,1861,1861,1861,,,136109,0.00850816826608,0,1,149,"Stanhope, Philip Henry Stanhope,",Life of the Right Honourable William Pitt,bio
loc.ark+=13960=t8jd5hj87,1876,1876,1876,1876,,,248443,0.0454004898128,0,1,149,"Cooke, John Esten,",Stonewall Jackson: a military biography,bio
loc.ark+=13960=t5x63s788,1878,1878,1878,1878,,,99854,0.0489329648761,0,1,149,"Wells, James Monroe,",The Chisolm massacre,bio
uc2.ark+=13960=t7hq3v60s,1874,1874,1874,1874,,,179600,0.0671345624552,0,1,149,"Grimm, Herman Friedrich,",Life of Michael Angelo,bio
uc1.b111886,1870,1870,1870,1870,,,102472,0.994298405279,1,1,149,"De Mille, James,",The lady of the ice,fic
nyp.33433074864848,1862,1862,1862,1862,,,150551,0.86602237199,1,1,149,"Gore,",The royal favourite,fic
uc2.ark+=13960=t57d2qw7z,1868,1868,1868,1868,,,90688,0.99677168887,1,1,149,anonymous191,"The Canterbury bells; or, Scenes in the Belmont family",fic
nyp.33433074902952,1872,1872,1872,1872,,,104073,0.576189922954,1,1,149,"Maffitt, John Newland,",Nautilus,fic
nyp.33433074859418,1868,1868,1868,1868,,,33619,0.996140327736,1,1,149,"Greenwood, James.",The bear king,fic
mdp.39015021302784,1867,1867,1867,1867,,,119977,0.0175116724072,0,1,149,"Smiles, Samuel,","The life of Thomas Telford, civil engineer",bio
uc2.ark+=13960=t1jh3g53t,1868,1868,1868,1868,,,190544,0.903864113306,1,1,149,"Valentine, L.",Eastern tales,fic
uc1.b3550702,1864,1864,1864,1864,,,229853,0.867166568243,1,1,149,"Jeaffreson, John Cordy,",Olive Blake's good work,fic
uc2.ark+=13960=t56d5rq50,1867,1867,1867,1867,,,13496,0.813900466951,1,1,149,"Ferguson, Samuel,",Father Tom and the Pope,fic
wu.89099334476,1870,1870,1870,1870,,,41573,0.166629145197,0,1,149,"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie,","Francis the First, and other historic studies",bio
loc.ark+=13960=t3bz68n7v,1870,1870,1870,1870,,,138355,0.000924665508926,0,1,149,"Barnes, William Horatio.",The Fortieth Congress of the United States,bio
mdp.39015002683467,1864,1864,1864,1864,,,11642,0.334866643922,0,1,149,anonymous188,Mai-jour (translated May-day) General George Barnum McClellan,bio
inu.30000054101278,1867,1867,1867,1867,,,64728,0.983707180177,1,1,148,"Marryat, Florence,",The confessions of Gerald Estcourt,fic
nyp.33433076057680,1866,1866,1866,1866,,,98684,0.382438681549,1,1,149,anonymous190,"Favorite authors, a companion-book of prose and poetry",fic
loc.ark+=13960=t4th8sp4z,1873,1873,1873,1873,,,8186,0.00163135343854,0,1,149,"Badger, Richard C. [from old catalog]",Removal [!] of the disabilities of Gov,bio
loc.ark+=13960=t21c2kv6b,1874,1874,1874,1874,,,69886,0.680693940019,0,1,149,"Cleveland, Cecilia Pauline,",The story of a summer ;,bio
uiuo.ark+=13960=t1sf3cb0v,1864,1864,1864,1864,,,89453,0.984761741952,1,1,149,"Locker, Arthur,",Sir Goodwin's folly,fic
uc1.b3549878,1874,1874,1874,1874,,,308579,0.986665435074,1,1,148,"Dickens, Charles,",The works of Charles Dickens,fic
nyp.33433082337209,1868,1868,1868,1868,,,63350,0.052596078983,0,1,149,"Bisbee, Herman.",Memoir of Rev. Seth Barnes,bio
njp.32101075987329,1865,1865,1865,1865,,,79474,0.00618423471555,0,1,149,"Hewit, Augustine F.",Life of the Rev. Francis A. Baker,bio
nnc1.cu50263471,1872,1872,1872,1872,,,143858,0.976978749629,1,1,148,"Mühlbach, L.",The daughter of an empress,fic
nc01.ark+=13960=t7pn9kj22,1863,1863,1863,1863,,,47387,0.98264107505,1,1,149,"Hazelton, Harry.","The border spy, or, The beautiful captive of the rebel camp",fic
nyp.33433082302898,1870,1870,1870,1870,,,14052,0.92521810351,1,1,149,"Follen, Eliza Lee Cabot,",True stories about dogs & cats,fic
loc.ark+=13960=t4cn7w50h,1878,1878,1878,1878,,,10356,0.0303950011719,0,1,149,"Jones, Adolphus Eberhardt. [from old catalog]","Address of Col. A. E. Jones, at Turpin's Grove, Anderson Township",bio
loc.ark+=13960=t55d9k948,1867,1867,1867,1867,,,25029,0.00116322277549,0,1,149,"Swain, David L.",Early times in Raleigh,bio
mdp.39015063799913,1876,1876,1876,1876,,,140723,0.38914105276,0,1,149,"Goodenough, James Graham,","Journal of Commodore Goodenough ... during his last command as senior officer on the Australian station, 1873-1875",bio
nyp.33433006524338,1876,1876,1876,1876,,,49620,0.934587473518,1,1,149,"Jenkins, Edward,",The devil's chain,fic
uva.x000764723,1869,1869,1869,1869,,,104189,0.0668233799116,0,1,148,"Lockhart, J. G.",Memoirs of Sir Walter Scott,bio
mdp.39015062792687,1874,1874,1874,1874,,,66648,0.544824893005,0,1,149,"Bewick, William,",Life and letters of William Bewick (artist),bio
dul1.ark+=13960=t50g4f66g,1863,1863,1863,1863,,,215067,0.86683846416,1,1,149,"Lytton, Edward Bulwer Lytton,",A strange story,fic
loc.ark+=13960=t6d22dg8q,1865,1865,1865,1865,,,44211,0.987720710884,1,1,149,"Victor, Metta Victoria Fuller,",The two hunters;,fic
uiuo.ark+=13960=t81k00j7q,1876,1876,1876,1876,,,69948,0.934459398619,1,1,149,"Payn, James,",Fallen fortunes,fic
uiuo.ark+=13960=t42r4ff95,1876,1876,1876,1876,,,49563,0.946355204768,1,1,149,"Prior, Herman L.",Overmatched,fic
loc.ark+=13960=t1jh46z74,1863,1863,1863,1863,,,76869,0.0294379307487,0,1,149,"Bishop, Albert Webb.",Loyalty on the frontier,bio
njp.32101074203124,1872,1872,1872,1872,,,201138,0.00249163387461,0,1,149,"Duppa, Richard,",The lives and works of Michael Angelo and Raphael,bio
nyp.33433081989810,1872,1872,1872,1872,,,88354,0.995299645756,1,1,149,"Sheldon, E. A.",The first[-fifth] reader,fic
mdp.39015071134558,1870,1870,1870,1870,,,3007,0.0553211461746,0,1,149,"Parker, Henry,",Autobiography of Henry Parker,bio
inu.39000005767491,1871,1871,1871,1871,,,44126,0.979490209344,1,1,149,"Redesdale, Algernon Bertram Freeman-Mitford,",Tales of old Japan,fic
uiuo.ark+=13960=t4dn4h40p,1863,1863,1863,1863,,,83730,0.997302203886,1,1,149,"Drury, Anna H.",Deep waters,fic
uiuo.ark+=13960=t9p27hj5m,1864,1864,1864,1864,,,73233,0.995714860086,1,1,149,"Saunders, John,",Guy Waterman,fic
loc.ark+=13960=t8tb17j86,1865,1865,1865,1865,,,6773,0.0791829249072,0,1,149,"Bain, John Wallace,",National lessons from the life and death of President Lincoln,bio
nyp.33433075758882,1871,1871,1871,1871,,,312355,0.96032130541,1,1,149,"Trollope, Anthony,","Phineas Finn, the Irish member",fic
