volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
uc2.ark+=13960=t9x062z3r,1900,1900,1900,1900,,,121338,0.611272488529,1,1,149,"Crockett, S. R.",The Stickit minister's wooing,fic
nyp.33433081785945,1918,1918,1918,1918,,,717689,0.306483632607,0,1,149,"Dobbs, Hugh Jackson,","History of Gage County, Nebraska",bio
nyp.33433076044662,1918,1918,1918,1918,,,130222,0.599561143527,1,1,149,"Shields, Gertrude M.",Caste three,fic
mdp.39015082091755,1950,1950,1915,1950,,,135333,0.359162125765,0,1,149,"Thomson, Gladys Scott.","Life in a noble household, 1641-1700",bio
mdp.39015017688766,1937,1937,1876,1937,,,176833,0.385411580667,0,1,149,"Trevelyan, George Macaulay,",Grey of Fallodon;,bio
mdp.39015071152212,1920,1920,1920,1920,,,13053,0.383614451878,0,1,149,anonymous241,An appreciation of Mary Pierce Martin,bio
mdp.39015063918935,1912,1912,1912,1912,,,86898,0.639673467499,1,1,149,"Birmingham, George A.,",The inviolable sanctuary,fic
mdp.39015048490331,1924,1924,1885,1924,,,53802,0.363496612598,0,1,149,"Meadowcroft, Charles William,",The place of Eden Phillpotts in English peasant drama,bio
uc2.ark+=13960=t1vd6q22s,1912,1912,1912,1912,,,33650,0.576842329036,1,1,149,"Bacheller, Irving,","""Charge it"";",fic
mdp.39015071169240,1917,1917,1917,1917,,,37547,0.343747188071,0,1,149,"Harris, Wilmer Carlyle.","Public life of Zachariah Chandler, 1851-1875",bio
mdp.39015010216946,1945,1945,1865,1945,,,90180,0.406670441523,0,1,149,"Eckstorm, Fannie Hardy,",Old John Neptune and other Maine Indian shamans,bio
uc2.ark+=13960=t46q1tq0q,1920,1920,1920,1920,,,102453,0.59906670324,1,1,149,"King, Basil,",The thread of flame,fic
mdp.39015067344146,1911,1911,1911,1911,,,53126,0.326116775345,0,1,149,"Cowan, Samuel,",The lord chancellors of Scotland,bio
mdp.39015063817392,1941,1941,1906,1941,,,109974,0.388880300543,0,1,149,"Gavin, Catherine Irvine.","Edward the Seventh, a biography",bio
uc1.$b372214,1902,1902,1902,1902,,,127379,0.491400550209,1,1,149,"Richardson, Samuel,",Writings of Samuel Richardson,fic
uc1.b4104676,1913,1913,1913,1913,,,17924,0.445421104908,0,1,149,"Hooper, James.",Souvenir of the George Borrow celebration,bio
uc2.ark+=13960=t10p0xq9w,1914,1914,1914,1914,,,42260,0.580978370715,1,1,149,"Pearson, Edmund Lester,",The secret book,fic
mdp.39015004184696,1941,1941,1898,1941,,,217457,0.375392426136,0,1,149,"Guttmacher, Manfred S. (Manfred Schanfarber),",America's last king ;,bio
uva.x000612349,1905,1905,1905,1905,,,117147,0.602659584334,1,1,149,"Jókai, Mór,",Works of Maurus Jókai,fic
uc1.b4218451,1945,1945,1907,1945,,,49541,0.456864943726,1,1,149,"Ewen, David,",Tales from the Vienna Woods,fic
uc1.$b800144,1923,1923,1872,1923,,,15565,0.503438123561,1,1,149,"Thompson, H. Alfarata Chapman (Harriet Alfarata Chapman),","Idealia, a Utopian dream, or, Resthaven",fic
mdp.39015011361055,1936,1936,1901,1936,,,159479,0.35106764362,0,1,149,"Dugdale, Blanche E. C. (Blanche Elizabeth Campbell)","Arthur James Balfour, First Earl of Balfour, K.G., O.M., F.R.S., etc",bio
uc1.$b666859,1940,1940,1890,1940,,,83807,0.745854547881,1,1,149,"Richter, Conrad,",The trees,fic
uc1.$b401314,1946,1946,1911,1946,,,40074,0.636494093131,1,1,149,"Shelley, Elsa.",Pick-up girl;,fic
uc1.32106020238496,1922,1922,1922,1922,,,113328,0.322541480063,0,1,149,"Beatty, Arthur,","William Wordsworth, his doctrine and art in their historical relations",bio
mdp.39015059409915,1923,1923,1866,1923,,,39773,0.44738716414,0,1,149,"McArthur, Peter,",Peter McArthur,bio
mdp.39015011540872,1926,1926,1856,1926,,,55937,0.38486837112,0,1,149,"Sir, Robbins, Alfred,","Parnell, the last five years",bio
uva.x001866548,1915,1915,1915,1915,,,47951,0.687353356462,1,1,149,"Waggaman, Mary Teresa,",White Eagle,fic
uc1.$b758419,1925,1925,1876,1925,,,161070,0.340532942704,0,1,149,"Plaisted, Arthur Henry,","The manor and parish records of Medmenham, Buckinghamshire",bio
mdp.39015063817608,1937,1937,1872,1937,,,112213,0.388059170609,0,1,149,"Sir, bart.], [Young, George,",Poor Fred;,bio
uc1.$b675743,1943,1943,1908,1943,,,86571,0.387767280417,0,1,149,"Knickerbocker, Frances Wentworth (Cutler)",Free minds: John Morley and his friends,bio
uc1.$b751263,1940,1940,1905,1940,,,81871,0.427758025482,0,1,149,"lady. Murray, Mildred (March)",The making of a civil servant,bio
uc1.b4440003,1936,1936,1879,1936,,,37221,0.395162571663,0,1,149,"Stefan, Paul,",Arturo Toscanini,bio
mdp.39015012198621,1945,1945,1910,1945,,,83926,0.621337791383,1,1,149,"Dane, Clemence.",He brings great news,fic
umn.31951002314450j,1902,1902,1902,1902,,,169192,0.453248760508,0,1,149,anonymous223,Library of inspiration and achievement,bio
mdp.39015074187975,1937,1937,1902,1937,,,4723,0.319060990366,0,1,149,"Miles, A. C.",Mosley in motley,bio
mdp.39015063626413,1925,1925,1880,1925,,,111537,0.422243270387,0,1,149,"Strachey, Lytton,",Queen Victoria,bio
uc2.ark+=13960=t9p26sm8w,1911,1911,1911,1911,,,15932,0.752804046202,1,1,149,"Serl, Emma,",In fableland,fic
uc2.ark+=13960=t2h709220,1918,1918,1918,1918,,,47948,0.603265275931,1,1,149,"Train, Arthur,",The earthquake,fic
mdp.39015063514007,1902,1902,1902,1902,,,32576,0.602585996122,1,1,149,"Holland, Clive,",My Japanese wife ;,fic
osu.32435066780578,1935,1935,1895,1935,,,82402,0.654164088275,1,1,149,"Gardner, Anne,",All that glitters,fic
wu.89099774127,1938,1938,1903,1938,,,112808,0.543012967642,1,1,149,"Cleugh, James.",Tuscan spring,fic
loc.ark+=13960=t13n28971,1922,1922,1922,1922,,,22465,0.472530157359,0,1,149,"McSpadden, J. Walker",The story of Abraham Lincoln,bio
uc1.$b245089,1925,1925,1880,1925,,,65601,0.563121309975,1,1,149,"Van Vechten, Carl,",Firecrackers ;,fic
mdp.39015005729499,1926,1926,1872,1926,,,100698,0.595038790191,1,1,149,"Sir, Beerbohm, Max,",Zuleika Dobson,fic
uc1.b3025125,1913,1913,1913,1913,,,267284,0.374837456929,0,1,149,"Grisar, Hartmann,",Luther,bio
mdp.39015024534490,1923,1923,1923,1923,,,173194,0.480305307545,0,1,149,anonymous248,Elbert Hubbard's scrap book,bio
uc1.32106001597878,1922,1922,1922,1922,,,27094,0.401910313163,0,1,149,"Tolstai͡a, S. A.",Autobiography of Countess Tolstoy Sophie Andreevna Tolstoy,bio
mdp.39015030747359,1923,1923,1890,1923,,,76150,0.599293411253,1,1,149,"Herbert, A. P. (Alan Patrick),",The man about town,fic
mdp.39015025814230,1949,1949,1898,1949,,,108417,0.423765194358,0,1,149,"Blackburn, Barbara,","Noble lord, the life of the Seventh Earl of Shaftesbury",bio
mdp.39076002630999,1928,1928,1893,1928,,,60269,0.653113850488,1,1,149,"Aspinwall, Marguerite.",Sea girl,fic
mdp.39015071143328,1918,1918,1918,1918,,,58406,0.274824833713,0,1,149,anonymous237,Bench & bar of Michigan,bio
mdp.39015001841017,1938,1938,1883,1938,,,267706,0.371227762698,0,1,149,"Sir, Mackenzie, Compton,",The Windsor tapestry;,bio
uc1.b3322482,1915,1915,1915,1915,,,55105,0.613097744399,1,1,149,"Chambers, Robert W.",Police !!!,fic
mdp.39015013018604,1914,1914,1914,1914,,,134167,0.420506799098,0,1,149,"Baring-Gould, S.",The lives of the saints,bio
mdp.39015022072378,1938,1938,1895,1938,,,109354,0.333464536947,0,1,149,"Pearson, E. S. (Egon Sharpe),",Karl Pearson;,bio
uc1.b3516783,1900,1900,1900,1900,,,75471,0.409323053116,0,1,149,"Lawrence, Arthur,","Sir Arthur Sullivan; life story, letters, and reminiscences",bio
uc2.ark+=13960=t72v2d072,1917,1917,1917,1917,,,15686,0.650402522052,1,1,148,"Torrence, Ridgely,","Granny Maumee, The rider of dreams, Simon the Cyrenian;",fic
mdp.39015065863600,1942,1942,1889,1942,,,187314,0.296931749351,0,1,149,"2d Marquis of, Reading, Gerald Rufus Isaacs,","Rufus Isaacs, first marquess of Reading, P. C., G. C. B., G. C. S. I., G. C. I. E., G. C. V. O",bio
mdp.39015002758004,1936,1936,1863,1936,,,272719,0.574950263636,1,1,149,"Santayana, George,",The last Puritan,fic
mdp.39015005722197,1912,1912,1912,1912,,,32640,0.438533912843,0,1,149,"Tomita, Kokei.",A peasant sage of Japan;,bio
umn.31951001697946m,1917,1917,1917,1917,,,27147,0.626686404413,1,1,149,"Bartlett, Vernon.","Mud and khaki, sketches from Flanders and France",fic
uc2.ark+=13960=t0js9js4z,1911,1911,1911,1911,,,100695,0.572931768147,1,1,149,"Watson, H. B. Marriott",Alise of Astra,fic
mdp.39015030643715,1928,1928,1881,1928,,,171356,0.33542691513,0,1,149,"Lutz, Hermann,",LordGrey and the world war,bio
uc1.b4101929,1945,1945,1910,1945,,,13688,0.724577835881,1,1,149,"Baker, Charlotte,",Necessary Nellie;,fic
mdp.39015016448949,1935,1935,1900,1935,,,115136,0.426461586936,0,1,149,"1904- Halbeisen, Elizabeth Kobus,",Harriet Prescott Spofford,bio
osu.32435076975895,1937,1937,1902,1937,,,56329,0.713898821729,1,1,149,"Williams, Wright.",Carnival girl,fic
uc1.b3295269,1941,1941,1889,1941,,,259615,0.64857866165,1,1,149,"Williams, Ben Ames,",The strange woman,fic
wu.89055051874,1927,1927,1887,1927,,,11569,0.337935136445,0,1,149,"Broad, C. D. (Charlie Dunbar),",Sir Isaac Newton,bio
mdp.39015005674216,1937,1937,1909,1937,,,102495,0.714175631077,1,1,149,"Hathaway, Baxter,",The stubborn way,fic
uc1.$b299684,1927,1927,1884,1927,,,60809,0.601330465932,1,1,149,"Boyton, Neil,",Mississippi's blackrobe,fic
uc2.ark+=13960=t36111210,1911,1911,1911,1911,,,125957,0.397805762078,0,1,149,"King, Bolton,",The life of Mazzini,bio
mdp.39015031924163,1911,1911,1911,1911,,,162413,0.359679311493,0,1,149,"St. Paul, Horace,","Colonel St. Paul of Ewart, soldier and diplomat;",bio
