title,date,meantime,middletime,stdtime,meanhard,frameratio,weightedavg,meandialog,col
Concealment,1821,3.418583310422843,2.89890233872,5.02574954503,0.011533003941922903,5.697860071739305,2.90847936489,0.1891575413367965,green
The murder of Roger Ackroyd,1926,-3.789970376820726,-3.64944879427,1.89943477205,0.045095558765262146,0.29025117241825804,-3.65575742514,0.41224765419387427,blue
The Godfather,1969,-1.2294208959802289,-0.321101867494,4.00770607906,0.07281626549937303,4.830446056929976e-06,-0.342191042958,0.30581012946708896,green
Catch-22,1955,-3.006696709187917,-3.85497669793,3.43126753219,0.05849966751753344,3.551557835725749,-3.83776795655,0.43217737780843674,blue
Seven keys to Baldpate,1913,-4.946848788960716,-4.77678470119,0.498257733238,0.04836524178522335,0.6113767182031824,-4.78562609801,0.6283993837957368,black
The career of Leonard Wood,1920,6.670615398091909,6.11317730018,3.32782987748,0.03142445228764605,4.660318812551866,6.15532009887,0.1257322240611004,red
Oliver Twist,1838,-1.5342021781366761,-3.84602460024,4.979886366,0.0454448964712805,126638.39258310411,-3.78278249743,0.27709495769781006,green
Slaughterhouse Five,1969,-2.205534513457386,-2.95620580519,3.22252710965,0.05072712662610519,14.026453132469774,-2.89324705712,0.09341503021552143,blue
THE RECESS; OR A TALE OF OTHER TIMES.,1785,2.056800059010429,1.88676664457,5.70074123865,0.025747577826295515,7.135419462337562,1.89079327474,0.11050120051135877,black
The Gods of Mars,1913,-2.8346940001171883,-4.89710846539,5.03770024753,0.05180633011669737,901539.5950753129,-4.82579872686,0.1477871808624934,black
Great Expectations,1861,-2.1072941473418076,-2.74950012664,3.7782517269,0.050914525728964155,13510.115709475822,-2.73571129473,0.29680024777926794,black
Florence Nightingale,1950,6.957514494596826,6.74057325214,2.5129927548,0.030594347373579828,1.111607871613461,6.74560424509,0.2330890145988434,red
Reminiscences of Rosa Bonheur,1910,7.342508657594686,7.0194195964,3.16844472361,0.03020931564634771,8.773384120252452,7.02728507864,0.11491862941358824,red
The life of Mr. Bayle,1708,7.462013849654343,6.75447748045,2.01095757367,0.01577141615294182,19.431385097590443,6.79741409209,0.4293249309198654,red
Sense and Sensibility,1811,0.3990660113376196,-2.30158902484,5.97828095682,0.013499780448966188,114574.75019578649,-2.23234204388,0.3092784066416437,black
