volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
uva.x002650137,1739,1739,1739,1739,,,110851,0.476717573416,0,1,141,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de Pollnitz",bio
mdp.39015013141174,1703,1703,1703,1703,,,108242,0.459156296209,0,1,146,"Hoadly, Benjamin,","The reasonableness of conformity to the Church of England, represented to the dissenting ministers",bio
dul1.ark+=13960=t9184177s,1749,1749,1749,1749,,,39463,0.45016866890100005,1,1,145,"Smollett, T.",The history and adventures of an atom,fic
yale.39002004756376,1737,1737,1737,1737,,,107228,0.47090862069600004,0,1,141,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de P̦llnitz",bio
yale.39002085617992,1732,1732,1732,1732,,,45356,0.459519698121,0,1,146,"Crokatt, Gilbert,",The Scotch Presbyterian eloquence;,bio
mdp.39015056795324,1749,1749,1749,1749,,,95847,0.533401506809,1,1,141,"Fielding, Henry,",The history of Tom Jones,fic
mdp.39015078548610,1727,1727,1727,1727,,,30916,0.53064441414,1,1,146,"Brunt, Samuel,",A voyage to Cacklogallinia,fic
mdp.39015010967548,1743,1743,1743,1743,,,71733,0.532804076668,1,1,141,"Fielding, Henry,",Miscellanies,fic
mdp.39015078564393,1726,1726,1726,1726,,,74565,0.49125083051299995,1,1,142,"Swift, Jonathan,",Travels into several remote nations of the world,fic
mdp.39015014659604,1727,1727,1727,1727,,,144721,0.419605277296,0,1,145,"Oldmixon,",Clarendon and Whitlock compar'd,bio
nyp.33433022841005,1715,1715,1715,1715,,,108766,0.423790659176,0,1,146,"Halifax, Charles Montagu,",The works and life of the Right Honourable Charles,bio
nnc1.0038590972,1747,1747,1747,1747,,,65849,0.551946860199,0,1,146,anonymous2,Memoirs of the Nutrebian court,bio
mdp.39015004077221,1725,1725,1725,1725,,,437384,0.468259626285,0,1,145,"Boyle, Robert,",The philosophical works of the Honourable Robert Boyle esq,bio
hvd.hn4q79,1749,1749,1749,1749,,,253155,0.5474136946679999,1,1,140,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentleman Don Quixote de la Mancha,fic
ucm.5329214998,1745,1745,1745,1745,,,7479,0.518934410351,1,1,146,anonymous13,"An expostulatory address to John Ranby ... occasioned by his Treatise on gunshot-wounds, and his Narrative of the Earl of Orford's last illness",fic
ucm.5329037873,1736,1736,1736,1736,,,79701,0.578327344336,1,1,146,anonymous14,"Secret memoirs and manners of several persons of quality, of both sexes from the New Atlantis, Island in the Mediteranean ; written originally in italian ; Vol. II",fic
mdp.39015078565408,1726,1726,1726,1726,,,71962,0.509799290798,1,1,142,"Swift, Jonathan,",Travels into several remote nations of the world,fic
mdp.39015078564385,1726,1726,1726,1726,,,71995,0.498537485523,1,1,142,"Swift, Jonathan,",Travels into several remote nations of the world,fic
uc2.ark+=13960=t7xk86t26,1737,1737,1737,1737,,,185399,0.460087229947,0,1,141,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, baron de Pollnitz",bio
njp.32101067499408,1727,1727,1727,1727,,,81694,0.41499615233599996,0,1,146,"[Jebb, Samuel]","The life of Robert, earl of Leicester, the favourite of Queen Elizabeth",bio
dul1.ark+=13960=t74t7bs0b,1735,1735,1735,1735,,,127228,0.604766113283,1,1,145,"Chetwood, W. R.","The voyages and adventures of Captain Robert Boyle, in several parts of the world",fic
mdp.39015028161266,1721,1721,1721,1721,,,60621,0.5325983896350001,1,1,145,"La Motte,","One hundred new court fables, written for the instruction of princes, and a true knowledge of the world",fic
hvd.hxvafh,1744,1744,1744,1744,,,103107,0.43758325660499997,0,1,146,"Mottley, John,",The history of the life and reign of the Empress Catharine,bio
hvd.hn4q78,1749,1749,1749,1749,,,235928,0.565504957967,1,1,140,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentleman Don Quixote de la Mancha,fic
mdp.39015063882669,1703,1703,1703,1703,,,108217,0.427234999295,0,1,146,"Burchett, Josiah,",Memoirs of transactions at sea during the war with France;,bio
mdp.39015063608122,1745,1745,1745,1745,,,135992,0.5013559548200001,0,1,145,"Ayre, William.","Memoirs of the life and writings of Alexander Pope, esq.;",bio
mdp.39015078548024,1734,1734,1734,1734,,,62779,0.576645852369,1,1,145,"Chetwood, W. R.","The voyages, dangerous adventures, and imminent escapes of Capt. Rich. Falconer",fic
njp.32101067675023,1750,1750,1750,1750,,,221544,0.444058956441,0,1,144,"Fell, Charles,",The lives of saints,bio
mdp.39015065496005,1735,1735,1735,1735,,,83834,0.44247845533200003,0,1,146,"Kennett, Basil,",The lives and characters of the ancient Grecian poets,bio
mdp.39015035860348,1732,1732,1732,1732,,,38818,0.438737331576,0,1,145,"Collins, Arthur,","The life of that great statesman William Cecil, lord Burghley, secretary of state in the reign of King Edward the Sixth, and lord high treasurer of England in the reign of Queen Elizabeth",bio
uc2.ark+=13960=t80k27z1j,1738,1738,1738,1738,,,7362,0.504582478477,1,1,146,"Clarke, Alured,","An essay towards the character of Her late Majesty Caroline, Queen-Consort of Great Britain, & c",fic
mdp.39015063962602,1714,1714,1714,1714,,,164595,0.45926532383199997,0,1,146,"Boyer, Abel,","Memoirs of the life and negotiations of Sir W. Temple, bar",bio
mdp.39015026498405,1737,1737,1737,1737,,,129183,0.48346769152900004,0,1,141,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, baron de Pollnitz",bio
mdp.39076006199025,1720,1720,1720,1720,,,126928,0.572294941447,1,1,140,"Defoe, Daniel,","The life, adventures, and pyracies, of the famous Captain Singleton",fic
mdp.39015078548511,1723,1723,1723,1723,,,4269,0.523771787521,1,1,146,anonymous3,Memoirs of the life of Scriblerus,fic
nnc1.0113360361,1739,1739,1739,1739,,,108299,0.615529100816,1,1,145,"Aubin, Penelope,","A collection of entertaining histories and novels, designed to promote the cause of virtue and honour",fic
mdp.39015065870019,1727,1727,1727,1727,,,46365,0.290233194474,0,1,146,"Hayes, Richard.",A new method for valuing of annuities upon lives,bio
