docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,path,authsvols,publisher,segment1900
uc2.ark+=13960=t55d8p14j,1854,1843,1843.0,vulgar,,,"Stephens, Ann S",Philadelphia;T. B. Peterson;c1854.,,High life in New York,,,,,,1810.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/55/d8/p1/4j/ark+=13960=t55d8p14j/uc2.ark+=13960=t55d8p14j.json.bz2,47,Peterson,0.6745675079975437
nyp.33433075741789,1852,1845,1845.0,vulgar,,,"Reynolds, George W. M",London;J. Dicks;1852-64.,,The mysteries of the court of London,,,,,,1814.0,m,uk,,,,nyp/pairtree_root/33/43/30/75/74/17/89/33433075741789/nyp.33433075741789.json.bz2,61,Dicks,0.3225033234425999
uc1.b249620,1853,1848,1848.0,vulgar,,,"Peppergrass, Paul",Boston;P. Donahoe;1853.,,"Shandy M'Guire, or, Tricks upon travellers : being a story of the north of Ireland",,,,,,1810.0,m,ir,,,,uc1/pairtree_root/$b/24/96/20/$b249620/uc1.$b249620.json.bz2,4,Donahoe,0.3786273051452665
njp.32101073308494,1852,1849,1849.0,vulgar,,,"Manning, Anne",New York;D. Appleton;1852.,,"The maiden & married life of Mary Powell, afterwards Mistress Milton",,,,,,1807.0,f,uk,,,,njp/pairtree_root/32/10/10/73/30/84/94/32101073308494/njp.32101073308494.json.bz2,66,Appleton,0.6890073105512846
uc2.ark+=13960=t4wh2fh9b,1850,1850,1850.0,vulgar,,,"Leighton, John",London;William Tegg and Co.;1850.,,Christmas comes but once a year,,,,,,1822.0,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/4w/h2/fh/9b/ark+=13960=t4wh2fh9b/uc2.ark+=13960=t4wh2fh9b.json.bz2,2,William Tegg,0.8332859878043558
uc2.ark+=13960=t10p0ww49,1866,1850,1850.0,elite,7680433.0,362799339,"Hawthorne, Nathaniel",Boston;Ticknor and Field;1866.,<blank>,The scarlet letter,rev,<blank>,<blank>,1855,ER,1804.0,m,us,,,,,437,Ticknor Field,0.8779115921153533
mdp.39015031908893,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.1,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/88/93/39015031908893/mdp.39015031908893.json.bz2,231,Bentley,0.418795974991079
uc1.b3579114,1850,1850,1850.0,vulgar,,,"Kimball, Richard B",New York;G.P. Putnam;1850.,,"Saint Leger, or, The threads of life",,,,,,1816.0,m,us,,,,uc1/pairtree_root/b3/57/91/14/b3579114/uc1.b3579114.json.bz2,18,Putnam,0.24892640298950086
uc2.ark+=13960=t6m043s5h,1860,1850,1850.0,vulgar,,,"Hall, S. C",London;Hurst and Blackett;1860.,,Stories of the Irish peasantry,,,,,,1800.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/6m/04/3s/5h/ark+=13960=t6m043s5h/uc2.ark+=13960=t6m043s5h.json.bz2,60,Hurst Blackett,0.4655668627064386
mdp.39015031909669,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.3,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/96/69/39015031909669/mdp.39015031909669.json.bz2,231,Bentley,0.5380558245255836
