"volid","dateused","pubdate","birthdate","firstpub","gender","nation","allwords","logistic","realclass","trainflag","author","title","title","genretags"
"coo.31924012963785",1909,1909,0,1909,"m","uk",30.6847175149,0.8962931389,1,1,"Chesterton, G. K","The ball and the cross","elite",
"coo.31924013218056",1908,1908,0,1908,"f","us",28.4318117442,0.8114749211,1,1,"Robins, Elizabeth","The convert","elite",
"coo.31924013587674",1909,1909,0,1909,"m","uk",31.5227009086,0.8517096636,0,1,"Benson, E. F","The climber","vulgar",
"coo1.ark+=13960=t49p3m963",1913,1913,0,1913,"m","us",28.0750661542,0.3761525703,1,1,"Sinclair, Upton","Sylvia: a novel","elite",
"dul1.ark+=13960=t03x8jh3v",1894,1894,0,1894,"m","uk",29.8780412491,0.7505780341,0,1,"Adderley, James Granville","Stephen Remarx;","vulgar",
"dul1.ark+=13960=t1fj34z1f",1871,1871,0,1871,"m","uk",40.1488995482,0.8910668615,1,1,"Lytton, Edward Bulwer Lytton","The coming race","elite",
"dul1.ark+=13960=t2f77261f",1851,1851,0,1851,"m","us",33.8278732862,0.0982359375,0,1,"Perce, Elbert","Gulliver Joi, his three voyages","vulgar",
"dul1.ark+=13960=t3jw91q2r",1872,1872,0,1872,"m","uk",44.6070873904,0.7488449785,1,1,"Butler, Samuel","Erewhon, or, Over the range","elite",
"dul1.ark+=13960=t3nw0276b",1879,1879,0,1879,"f","uk",33.9644367678,0.6886924207,0,1,"Linton, E. Lynn","Under which Lord?","vulgar",
"dul1.ark+=13960=t5x64812v",1866,1866,0,1866,"f","uk",42.8426484415,0.4633241421,0,1,"Skene, Felicia","Hidden depths","vulgar",
"hvd.hwpe1q",1921,1921,0,1921,"m","us",30.5067696999,0.4228974696,1,1,"Tarkington, Booth","Alice Adams","elite",
"inu.30000011866658",1914,1914,0,1914,"m","uk",28.9228438222,0.5087663076,0,1,"Weyman, Stanley John","Under the red robe","vulgar",
"inu.30000104239052",1907,1907,0,1907,"m","us",29.0597078925,0.1911696198,0,1,"Reddall, Henry Frederic","Wit and humor of women;","vulgar",
"inu.32000000320673",1900,1900,0,1900,"m","uk",32.623086473,0.6650876051,1,1,"Barrie, J. M","Tommy and Grizel","elite",
"inu.32000000970782",1928,1928,0,1928,"f","uk",36.4253410751,0.9062036931,1,1,"Woolf, Virginia","Orlando","elite",
"inu.32000001384124",1911,1911,0,1911,"m","uk",30.7339277496,0.9354139624,0,1,"Benson, Robert Hugh","The dawn of all","vulgar",
"inu.32000004070688",1937,1937,0,1937,"f","uk",34.97811196,0.823188775,1,1,"Sitwell, Edith","I Live Under a Black Sun","elite",
"inu.32000006997615",1873,1873,0,1873,"f","uk",33.2261441781,0.7333969119,1,1,"Ritchie, Anne Thackeray","Old Kensington","elite",
"inu.32000007094677",1901,1901,0,1901,"m","uk",30.5757329285,0.8314212877,1,1,"Brown, George Douglas","The house with the green shutters","elite",
"inu.32000009118748",1944,1944,0,1944,"f","uk",27.3655462205,0.5971369456,1,1,"Lehmann, Rosamond","The Ballad and the Source","elite",
"inu.32000011500214",1916,1916,0,1916,"m","us",33.7907022984,0.1111445456,0,1,"Burroughs, Edgar Rice","The beasts of Tarzan","vulgar",
"inu.39000003330680",1879,1879,0,1879,"f","uk",31.0797972633,0.575444253,1,1,"Fothergill, Jessie","Probation","elite",
"inu.39000003330789",1879,1879,0,1879,"f","uk",32.6520802037,0.7678890204,1,1,"Fothergill, Jessie","Probation","elite",
"inu.39000003330797",1879,1879,0,1879,"f","uk",32.0720929022,0.684411002,1,1,"Fothergill, Jessie","Probation","elite",
"inu.39000003684086",1925,1925,0,1925,"m","us",33.3125139725,0.6429156076,1,1,"Lewis, Sinclair","Arrowsmith","elite",
"loc.ark+=13960=t0zp4n54x",1888,1888,0,1888,"f","us",34.1072827386,0.0393703825,0,1,"Andrews, Anabel (Follanbee)","Flower fancies","vulgar",
"loc.ark+=13960=t16m3cg8z",1893,1893,0,1893,"m","us",29.7026154078,0.1413158384,0,1,"Chittenden, L. E","An unknown heroine;","vulgar",
"loc.ark+=13960=t2h718d7v",1914,1914,0,1914,"f","us",29.4384632305,0.8036559101,0,1,"Lynn, Margaret","A stepdaughter of the prairie","vulgar",
"loc.ark+=13960=t5gb2z75v",1913,1913,0,1913,"m","us",30.9082020154,0.7004399104,0,1,"Grayson, David","The friendly road","vulgar",
"loc.ark+=13960=t6d22dg8q",1865,1865,0,1865,"f","us",35.4192029734,0.2486742997,0,1,"Victor, Metta Victoria Fuller","The two hunters;","vulgar",
"loc.ark+=13960=t6nz8x84q",1873,1873,0,1873,"f","uk",39.891784261,0.2884889745,1,1,"Leonowens, Anna Harriette","The romance of the harem","elite",
"loc.ark+=13960=t7jq1gh0t",1918,1918,0,1918,"m","serbian",23.3345496377,0.4751474699,0,1,"Krunich, Milutin","Serbia crucified;","vulgar",
"mdp.39015000539521",1930,1930,0,1930,"m","us",26.9443475477,0.282696326,0,1,"Oursler, Fulton","About the murder of Geraldine Foster, | $c: by Anthony Abbot [pseud.] ...","vulgar",
"mdp.39015000540735",1948,1948,0,1948,"f","nz",30.8851937695,0.5230556875,0,1,"Park, Ruth","The harp in the South.","vulgar",
"mdp.39015000543002",1940,1940,0,1940,"m","us",31.1416471122,0.2484940617,0,1,"Paul, Elliot","Hugger-mugger in the Louvre; | a Homer Evans murder mystery, | $c: by Elliot Paul.","vulgar",
"mdp.39015000544224",1948,1948,0,1948,"m","za",27.042247588,0.6424275548,1,1,"Paton, Alan","Cry, The Beloved Country","elite",
"mdp.39015000551088",1938,1938,0,1938,"m","us",25.4893420696,0.447976724,1,1,"O'Hara, John","Hope of Heaven","elite",
"mdp.39015000599186",1933,1933,0,1933,"f","us",25.3311862685,0.5010129097,1,1,"Rawlings, Marjorie Kinnan","South Moon Under","elite",
"mdp.39015000613409",1943,1943,0,1943,"f","us",27.6389180206,0.3394077887,1,1,"Smith, Betty","A Tree Grows in Brooklyn","elite",
"mdp.39015000619067",1940,1940,0,1940,"m","uk",27.9436570412,0.7405518687,1,1,"Greene, Graham","The Power and the Glory","elite",
"mdp.39015000631930",1928,1928,0,1928,"m","uk",27.1781034422,0.8530266083,1,1,"Lawrence, D. H","The Woman Who Rode Away","elite",
"mdp.39015000659055",1939,1939,0,1939,"m","uk",33.8092579073,0.6179106328,1,1,"Llewellyn, Richard","How Green Was My Valley","elite",
"mdp.39015000666704",1915,1915,0,1915,"m","uk",31.0798443944,0.7548679543,1,1,"Ford, Ford Madox","The Good Soldier","elite",
"mdp.39015000957798",1947,1947,0,1947,"m","us",24.9577672926,0.1908939282,0,1,"Spillane, Mickey","I, the Jury","vulgar",
"mdp.39015001782393",1934,1934,0,1934,"f","us",30.5443190486,0.5853038226,0,1,"Herbst, Josephine","The executioner waits, | $c: by Josephine Herbst.","vulgar",
