volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
coo.31924012963785,1909,1909,1974,1909,m,uk,30.684717514917423,0.823835699071,1,1,"Chesterton, G. K",The ball and the cross,elite
coo.31924013218056,1908,1908,1862,1908,f,us,28.43181174418393,0.78862331153,1,1,"Robins, Elizabeth",The convert,elite
coo.31924013587674,1909,1909,1867,1909,m,uk,31.522700908596192,0.832501652229,0,1,"Benson, E. F",The climber,vulgar
coo1.ark+=13960=t49p3m963,1913,1913,1878,1913,m,us,28.075066154247374,0.370616688096,1,1,"Sinclair, Upton",Sylvia: a novel,elite
hvd.hwpe1q,1921,1921,1869,1921,m,us,30.50676969989225,0.501566844966,1,1,"Tarkington, Booth",Alice Adams,elite
inu.30000011866658,1914,1914,1855,1914,m,uk,28.922843822179402,0.246633642938,0,1,"Weyman, Stanley John",Under the red robe,vulgar
inu.30000104239052,1907,1907,1856,1907,m,us,29.05970789247175,0.304313992373,0,1,"Reddall, Henry Frederic",Wit and humor of women;,vulgar
inu.32000000320673,1900,1900,1860,1900,m,uk,32.62308647302052,0.613806351155,1,1,"Barrie, J. M",Tommy and Grizel,elite
inu.32000001384124,1911,1911,1871,1911,m,uk,30.73392774962761,0.839637144887,0,1,"Benson, Robert Hugh",The dawn of all,vulgar
inu.32000007094677,1901,1901,1869,1901,m,uk,30.575732928536834,0.713044603319,1,1,"Brown, George Douglas",The house with the green shutters,elite
inu.32000011500214,1916,1916,1875,1916,m,us,33.79070229837132,0.136093755088,0,1,"Burroughs, Edgar Rice",The beasts of Tarzan,vulgar
loc.ark+=13960=t2h718d7v,1914,1914,1869,1914,f,us,29.43846323051296,0.771511783787,0,1,"Lynn, Margaret",A stepdaughter of the prairie,vulgar
loc.ark+=13960=t5gb2z75v,1913,1913,1870,1913,m,us,30.90820201536924,0.578494270968,0,1,"Grayson, David",The friendly road,vulgar
loc.ark+=13960=t7jq1gh0t,1918,1918,1893,1918,m,serbian,23.334549637723224,0.341627793035,0,1,"Krunich, Milutin",Serbia crucified;,vulgar
mdp.39015000666704,1915,1915,1873,1915,m,uk,31.07984439436319,0.842154487751,1,1,"Ford, Ford Madox",The Good Soldier,elite
mdp.39015002714957,1919,1919,1873,1919,f,uk,27.558907972670905,0.801320636321,1,1,"Richardson, Dorothy M",The Tunnel,elite
mdp.39015005096006,1901,1901,1849,1901,f,us,35.99626270155031,0.526734024608,1,1,"Jewett, Sarah Orne",The Tory lover,elite
mdp.39015005148344,1900,1900,1852,1900,m,us,32.98976798465567,0.541000017648,1,1,"Grant, Robert",Unleavened bread,elite
mdp.39015008628714,1918,1918,1892,1918,f,uk,30.672698684601322,0.799308781013,1,1,"West, Rebecca",The return of the soldier,elite
mdp.39015009020440,1916,1916,1879,1916,m,uk,28.332762873976506,0.342085349339,0,1,"Mundy, Talbot",King of the Khyber rifles,vulgar
mdp.39015011425389,1909,1909,1864,1909,f,us,28.015337373876456,0.545603179998,1,1,"Glyn, Elinor",Three weeks,elite
mdp.39015011506139,1916,1916,1882,1916,m,uk,24.934372842937943,0.703561650828,1,1,"Lewis, Wyndham",Tarr,elite
mdp.39015014365145,1919,1919,1882,1919,f,uk,34.66309165058061,0.742340467093,1,1,"Woolf, Virginia",Night and Day,elite
mdp.39015016441308,1902,1902,1848,1902,m,us,33.27722244918527,0.340777211581,1,1,"Harris, Joel Chandler",Gabriel Tolliver,elite
mdp.39015019967010,1919,1919,1883,1919,m,sw,26.84654526175127,0.676426290428,0,1,"Bergman, Hjalmar",God's orchid;,vulgar
mdp.39015022200417,1924,1924,1881,1924,f,uk,28.67202059052624,0.709507797115,1,1,"Macaulay, Rose",Orphan Island,elite
mdp.39015022391133,1902,1902,1858,1902,f,uk,40.15245560122131,0.59906257395,1,1,"Somerville, E. Œ",Some experiences of an Irish R. M,elite
mdp.39015024086434,1923,1923,1889,1923,m,us,35.674192616564554,0.507970761795,1,1,"Hawes, Charles Boardman","The Dark Frigate: wherein is told the story of Philip Marsham who lived in the time of King Charles and was bred a sailor but came home to England after many hazards by sea and land and fought for the King at Newbury and lost a great inheritance and departed for Barbados in the same ship, by curious chance, in which he had long adventured with the pirates",elite
mdp.39015025919393,1920,1920,0,1920,f,us,29.559468384832222,0.21885147432,0,1,"Weaver, Sarah Harbine",The doings of Jane,vulgar
mdp.39015027996860,1902,1902,1875,1902,f,uk,28.893044199539816,0.392530044447,0,1,"Thurston, Katherine",The masquerade,vulgar
mdp.39015029736793,1902,1902,1855,1902,m,us,26.447120170258227,0.705692910125,1,1,"Stimson, Frederic Jesup",Jethro Bacon of Sandwich ; The weaker sex,elite
mdp.39015030017886,1913,1913,1872,1913,m,no,24.718858548944468,0.62486739865,1,1,"Bojer, Johan",The Prisoner Who Sang,elite
