word,coef
girl,-9.6435558230239
campaign,145.59452898929985
shell,-495.6377741350826
showed,137.9150227237982
region,-20.257964173266767
lived,103.71925622406998
arrangements,2234.045786329734
christian,489.00994111386683
scene,-229.19613458577098
brush,2724.03905094035
negro,-153.330570922
merest,-3260.920426407
coming,-3.416364669344321
southern,-560.7989315670237
guest,-762.8230404130925
going,9.199878294647926
soldiers,22.183910567846738
chain,-1132.2040776898216
cocked,-729.6582541975333
faithful,841.833903396783
sweating,2007.3735275441666
snorted,6283.125759965266
shouted,-41.269574377369295
lands,-103.79340581238
artificial,-133.79286735666656
trifle,-1361.688983443767
blush,2667.265037605
boxes,788.9310471835332
speeding,-1023.67476978
creatures,92.61879340669718
progress,-22.77312146890235
americans,79.62833157495
foreseen,-932.201688312
drop,19.0425551771358
legged,3809.4429995824994
rug,-3461.3070228690003
ladder,-82.04330877311415
confusing,363.12505864950003
explosion,203.52940322455999
all,-0.08687548293803408
pound,810.4723565549999
stranger,69.1006194491754
shyly,-117.26799208
different,138.3648590565378
gloomy,-1149.3337155312165
method,1052.4852814248
boots,-3.0413862337816955
consumed,1364.00782770025
maximum,480.9870198555
types,6222.1036603517
rendered,-796.5522047384
altered,-389.57807993736674
leisurely,1868.1083692633247
costs,230.34022539914992
inch,-884.6989437166989
other,-4.001486429950786
privacy,851.11624323295
inspired,-3797.6833700303837
deprived,3165.7237386300003
finally,10.238423084657207
spasm,-85.35906804999999
modest,5146.712337912665
bared,155.47135546285003
wish,-128.95452155306506
ascended,252.35295314499967
complained,3374.3526383803337
groaning,2131.8353661700003
doll,93.57435990495001
wit,691.440595044593
smaller,-266.3720352535253
beauties,1095.00904266
waist,-821.316196718704
objected,668.6239077435494
universe,-467.73576448204994
blow,-369.1231756276806
roses,386.3501711603099
energy,354.6752414509988
fascination,2149.6009838872505
afford,896.772713515507
etc,-377.64702450122996
mischief,-176.94526858199995
likeness,-1990.73215619
lay,-24.025552799105206
soared,46.75406276319998
acceptance,-134.38702433066666
middle,34.701201084681244
pad,332.8587321969334
executive,90.53911741030001
finished,-103.87004218185385
terrace,-21.640701271090002
moisture,-621.176200102
brace,388.150880709
scanning,-888.3488096889998
appearances,-1034.1127361505
rapidly,248.5339216936813
press,-229.37587698143003
speck,-2479.39189625
gently,425.404538697299
enter,-256.6281306550844
survived,534.6462524738329
venture,-913.70538003992
dwelling,-814.3447784091752
perspiration,4857.98230988825
rimmed,-101.6754512
courtyard,-187.63055650142994
