docid,firstpub,date,birthdate,recept,tags,enumcron,nationality,gender,author,title
AulnMMCbio,1702,1702,1655,,bio,,,,"Aulnoy, Madame d' (Marie-Catherine),",MEMOIRS OF THE Court of France AND City of Paris: CONTAINING The Intrigues of that Court and the Characters of the Ministers of State and other Officers; Together With the Occurrences of the TOWN.
DefoDSWfic,1702,1702,1661,,fic,,,,"Defoe, Daniel,",THE SHORTEST-WAY WITH THE DISSENTERS: OR PROPOSALS FOR THE ESTABLISHMENT OF THE CHURCH.
DefoDTRfic,1706,1706,1661,,fic,,,,"Defoe, Daniel,",A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.
AulnMHEfic,1708,1708,1655,,fic,,,,"Aulnoy, Madame d' (Marie-Catherine),",THE HISTORY OF THE Earl of WARWICK Sirnam'd The KING-MAKER: Containing his AMOURS And other Memorable Transactions.
Anon10BAfic,1710,1710,1685,,fic,,,,,THE Banby Apes: OR The Monkeys Chattering to the Magpye.
DefoDCTfic,1711,1711,1661,,fic,,,,"Defoe, Daniel,",Captain TOM's Remembrance to his Old Friends the MOBB of London Westminster Southwark and Wapping.
DefoDBVfic,1711,1711,1661,,fic,,,,"Defoe, Daniel,",THE British Visions: OR ISAAC BICKERSTAFF Sen.
ArbuJAT2fic,1712,1712,1667,,fic,,,,"Arbuthnot, John,",AN APPENDIX TO JOHN BULL Still In His SENSES: OR Law is a Bottomless-Pit.
ArbuJLBfic,1712,1712,1667,,fic,,,,"Arbuthnot, John,",LEWIS BABOON Turned Honest AND JOHN BULL POLITICIAN. Being The FOURTH PART OF Law is a Bottomless-Pit.
ArbuJJB2fic,1712,1712,1667,,fic,,,,"Arbuthnot, John,",JOHN BULL In His SENSES: BEING THE SECOND PART OF Law is a Bottomless-Pit.
ArbuJJBfic,1712,1712,1667,,fic,,,,"Arbuthnot, John,",JOHN BULL Still In His SENSES: BEING THE THIRD PART OF Law is a Bottomless-Pit.
ArbuJLIfic,1712,1712,1667,,fic,,,,"Arbuthnot, John,",LAW IS A Bottomless-Pit. Exemplified in the CASE of The Lord Strutt John Bull Nicholas Frog and Lewis Baboon. Who spent all they had in a Law-Suit. rinted from a Manuscript found in the Cabinet of the famous Sir Humphry Polesworth.
ArbuJITfic,1713,1713,1667,,fic,,,,"Arbuthnot, John,",AN INVITATION TO PEACE: OR TOBY's Preliminaries TO NESTOR IRONSIDES Set forth in a DIALOGUE Between TOBY and his KINSMAN.
DefoDMCfic,1713,1713,1661,,fic,,,,"Defoe, Daniel,",MEMOIRS OF Count TARIFF &c.
AddiJLTfic,1713,1713,1672,,fic,,,,"Addison, Joseph,",The LATE TRYAL AND CONVICTION OF Count TARIFF.
CongWIOfic,1713,1713,1670,,fic,,,,"Congreve, William,",INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.
EllwTHLbio,1714,1714,1639,,bio,,,,"Ellwood, Thomas,",THE HISTORY OF THE LIFE OF Thomas Ellwood. Or an Account of his BIRTH EDUCATION &c. WITH Divers Observations on his Life and Manners when a Youth: And how he came to be Convinced of the Truth; with his many Sufferings and Services for the same. Also Several Other Remarkable Passages and Occurrences.
ArbuJFCfic,1714,1714,1667,,fic,,,,"Arbuthnot, John,",A Farther Continuation OF THE HISTORY OF THE Crown-Inn.
ArbuJCHfic,1714,1714,1667,,fic,,,,"Arbuthnot, John,",A CONTINUATION OF THE HISTORY OF THE Crown-Inn: With CHARACTERS of some of the late SERVANTS; And the PROCEEDING of the TRUSTEES To the Coming of the New LANDLORD.
ArbuJPTfic,1714,1714,1667,,fic,,,,"Arbuthnot, John,",A POSTSCRIPT TO JOHN BULL Containing the HISTORY of the Crown-Inn With the DEATH of the WIDOW And what happened thereon.
ArbuJATfic,1714,1714,1667,,fic,,,,"Arbuthnot, John,",AN APPENDIX TO THE HISTORY OF THE Crown-Inn: With a KEY to the Whole.
DefoDAGbio,1715,1715,1661,,bio,,,,"Defoe, Daniel,",AN ACCOUNT OF THE GREAT and GENEROUS ACTIONS OF James Butler ( Duke of Ormond.)
ButlSITfic,1716,1716,1691,,fic,,,,"Butler, Sarah, Mrs,",Irish TALES: OR Instructive HISTORIES for the happy Conduct of LIFE.
PopeAFAfic,1716,1716,1688,,fic,,,,"Pope, Alexander,",A FURTHER ACCOUNT Of the most Deplorable Condition OF Mr. EDMUND CURLL BOOKSELLER. Since his being POISON'D on the 28th of March.
PopeAFTfic,1716,1716,1688,,fic,,,,"Pope, Alexander,",A FULL and TRUE ACCOUNT OF A Horrid and Barbarous REVENGE by POISON On the Body of Mr. EDMUND CURLL Bookseller; With a faithful Copy of his Last WILL and TESTAMENT.
ArbuJTRfic,1716,1716,1667,,fic,,,,"Arbuthnot, John,",To the RIGHT HONOURABLE The MAYOR and ALDERMEN of the City of LONDON:
Ovid4OMfic,1717,1717,1692,,fic,,,,"Ovid, 43 B.C.-17 or 18 A.D,",OVID's METAMORPHOSES IN FIFTEEN BOOKS. Translated by the most Eminent HANDS.
DefoDFAfic,1719,1719,1661,,fic,,,,"Defoe, Daniel,",THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.
BondWHLbio,1720,1720,1695,,bio,,,,"Bond, William, d. 1735,",THE HISTORY OF THE LIFE AND ADVENTURES OF Mr. DUNCAN CAMPBELL A Gentleman who tho' Deaf and Dumb writes down any Stranger's Name at first Sight; with their future Contingencies of Fortune. Now Living In Exeter Court over-against the Savoy in the Strand.
ChetWVDbio,1720,1720,1695,,bio,,,,"Chetwood, W. R. (William Rufus), d. 1766,",THE VOYAGES Dangerous ADVENTURES And imminent ESCAPES OF Captain Richard Falconer: Containing The Laws Customs and Manners of the Indians in America; his Shipwrecks; his Marrying an Indian Wife; his narrow Escape from the Island of Dominico &c. Intermix'd with The VOYAGES and ADVENTURES of THOMAS RANDAL of Cork Pilot; with his Shipwreck in the Baltick being the only Man that escap'd: His being taken by the Indians of Virginia &c. Written by Himself now alive.
DefoDFMfic,1721,1721,1661,,fic,,,,"Defoe, Daniel,",THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.
AulnMHJfic,1724,1724,1655,,fic,,,,"Aulnoy, Madame d' (Marie-Catherine),",THE HISTORY OF JOHN of BOURBON Prince of CARENCY. CONTAINING A Variety of entertaining NOVELS VIZ.1. The Surprize or the Generous Unknown.2. The Mutual Mistake or The Unhappy Discovery.3. The Secret Rival or the Deceitful Friend.4. The Perfidious Lady disappointed or the Happy Reconciliation.5. The Slighted Passion or the Fatal Resentment.6. The Unfortunate Lover.7. The Female Captives.8. The Distressed Lovers.9. The Revengeful Rival.10. The Happy Meeting or Constant Love Rewarded.
HDLJbio,1725,1725,1700,,bio,,,,"H. D,",THE LIFE OF JONATHAN WILD FROM HIS BIRTH to his DEATH.
ArbuJICfic,1726,1726,1667,,fic,,,,"Arbuthnot, John,",It cannot Rain but it Pours: OR London strow'd with Rarities.
CareHLDfic,1726,1726,1687,,fic,,,,"Carey, Henry,",A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.
CareHPDfic,1727,1727,1687,,fic,,,,"Carey, Henry,",Pudding and Dumpling Burnt to POT. OR A COMPLEAT KEY TO THE DISSERTATION ON DUMPLING. WHEREIN All the MYSTERY of that dark Treatise is brought to Light; in such a Manner and Method that the meanest Capacity may know who and who's together.
Anon28MEbio,1728,1728,1703,,bio,,,,,THE MEMOIRS OF AN English Officer Who serv'd in the Dutch War in 1672. to the Peace of Utrecht in 1713.
PopeAHNfic,1728,1728,1688,,fic,,,,"Pope, Alexander,",THE HISTORY OF THE NORFOLK STEWARD CONTINUED.
ArbuJASfic,1728,1728,1667,,fic,,,,"Arbuthnot, John,",An ACCOUNT of the State of Learning IN THE Empire of Lilliput.
DyerJGNbio,1729,1729,1704,,bio,,,,"Dyer, John, d. 1729,",A GENUINE NARRATIVE Of the MEMORABLE LIFE and ACTIONS OF JOHN DYER (Who was Executed at TYBURN on Friday the 21st Day of November 1729.)
CareHBOfic,1730,1730,1687,,fic,,,,"Carey, Henry,",BLUNDRELLA: OR THE IMPERTINENT. A TALE.
ForbAEMbio,1734,1734,1678,,bio,,,,"Forbes of Pitsligo, Alexander Forbes, Lord,",ESSAYS MORAL AND PHILOSOPHICAL ON SEVERAL SUBJECTS: VIZ.A VIEW of the HUMAN FACULTIES.A short ACCOUNT of the WORLD.Two DISCOURSES on DECENCY.An ESSAY on SELF-LOVE.
CibbTFOfic,1739,1739,1703,,fic,,,,"Cibber, Theophilus,",FOUR ORIGINAL LETTERS VIZ. Two from a HUSBAND to a GENTLEMAN: AND Two from a HUSBAND to a WIFE.
OldyWLSbio,1740,1740,1696,,bio,,,,"Oldys, William,",THE LIFE OF Sir Walter Ralegh.
RichSPO3fic,1741,1741,1689,,fic,,,,"Richardson, Samuel,",PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.
PopeAME2fic,1741,1741,1688,,fic,,,,"Pope, Alexander,",MEMOIRS Of the Extraordinary LIFE WORKS AND DISCOVERIES OF MARTINUS SCRIBLERUS.
BoreTHCbio,1742,1742,1717,,bio,,,,"Boreman, Thomas, fl. 1730-1743,",THE HISTORY OF CAJANUS THE Swedish GIANT From his BIRTH To the present Time.
RichSPOfic,1742,1742,1689,,fic,,,,"Richardson, Samuel,",PAMELA: OR Virtue Rewarded. In a SERIES of FAMILIAR LETTERS From a Beautiful Young DAMSEL to her PARENTS: And afterwards In her EXALTED CONDITION BETWEEN HER and Persons of Figure and Quality UPON THE MOST Important and Entertaining Subjects In GENTEEL LIFE.
RichSPO2fic,1742,1742,1689,,fic,,,,"Richardson, Samuel,",PAMELA; OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS From a Beautiful Young DAMSEL to her PARENTS: And afterwards In her EXALTED CONDITION BETWEEN HER and Persons of Figure and Quality UPON THE MOST Important and Entertaining Subjects In GENTEEL LIFE.
