"docid","actualdate","earliestdate","firstpub","tags","recordid","OCLC","author","imprint","enumcron","title","pubrev","judge","impaud","yrrev","pubname","birthdate","gender","nationality","othername","notes","canon","path","authsvols","publisher"
"uc2.ark+=13960=t55d8p14j",1854,1843,1843,"vulgar",,,"Stephens, Ann S","Philadelphia;T. B. Peterson;c1854.",,"High life in New York",,,,,,1810,"f","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/55/d8/p1/4j/ark+=13960=t55d8p14j/uc2.ark+=13960=t55d8p14j.json.bz2",47,"Peterson"
"nyp.33433075741789",1852,1845,1845,"vulgar",,,"Reynolds, George W. M","London;J. Dicks;1852-64.",,"The mysteries of the court of London",,,,,,1814,"m","uk",,,,"nyp/pairtree_root/33/43/30/75/74/17/89/33433075741789/nyp.33433075741789.json.bz2",61,"Dicks"
"uc1.b249620",1853,1848,1848,"vulgar",,,"Peppergrass, Paul","Boston;P. Donahoe;1853.",,"Shandy M'Guire, or, Tricks upon travellers : being a story of the north of Ireland",,,,,,1810,"m","ir",,,,"uc1/pairtree_root/$b/24/96/20/$b249620/uc1.$b249620.json.bz2",4,"Donahoe"
"njp.32101073308494",1852,1849,1849,"vulgar",,,"Manning, Anne","New York;D. Appleton;1852.",,"The maiden & married life of Mary Powell, afterwards Mistress Milton",,,,,,1807,"f","uk",,,,"njp/pairtree_root/32/10/10/73/30/84/94/32101073308494/njp.32101073308494.json.bz2",66,"Appleton"
"uc2.ark+=13960=t4wh2fh9b",1850,1850,1850,"vulgar",,,"Leighton, John","London;William Tegg and Co.;1850.",,"Christmas comes but once a year",,,,,,1822,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4w/h2/fh/9b/ark+=13960=t4wh2fh9b/uc2.ark+=13960=t4wh2fh9b.json.bz2",2,"William Tegg"
"uc2.ark+=13960=t10p0ww49",1866,1850,1850,"elite",7680433,362799339,"Hawthorne, Nathaniel","Boston;Ticknor and Field;1866.","<blank>","The scarlet letter","rev","<blank>","<blank>",1855,"ER",1804,"m","us",,,,,437,"Ticknor Field"
"mdp.39015031908893",1850,1850,1850,"elite",601440,13279433,"Collins, Wilkie","London;R. Bentley;1850.","v.1","Antonina;","rev","<blank>","pop",1850,"ER",1824,"m","uk",,,,"mdp/pairtree_root/39/01/50/31/90/88/93/39015031908893/mdp.39015031908893.json.bz2",231,"Bentley"
"uc1.b3579114",1850,1850,1850,"vulgar",,,"Kimball, Richard B","New York;G.P. Putnam;1850.",,"Saint Leger, or, The threads of life",,,,,,1816,"m","us",,,,"uc1/pairtree_root/b3/57/91/14/b3579114/uc1.b3579114.json.bz2",18,"Putnam"
"uc2.ark+=13960=t6m043s5h",1860,1850,1850,"vulgar",,,"Hall, S. C","London;Hurst and Blackett;1860.",,"Stories of the Irish peasantry",,,,,,1800,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6m/04/3s/5h/ark+=13960=t6m043s5h/uc2.ark+=13960=t6m043s5h.json.bz2",60,"Hurst Blackett"
"mdp.39015031909669",1850,1850,1850,"elite",601440,13279433,"Collins, Wilkie","London;R. Bentley;1850.","v.3","Antonina;","rev","<blank>","pop",1850,"ER",1824,"m","uk",,,,"mdp/pairtree_root/39/01/50/31/90/96/69/39015031909669/mdp.39015031909669.json.bz2",231,"Bentley"
"mdp.39015031908901",1850,1850,1850,"elite",601440,13279433,"Collins, Wilkie","London;R. Bentley;1850.","v.2","Antonina;","rev","<blank>","pop",1850,"ER",1824,"m","uk",,,,"mdp/pairtree_root/39/01/50/31/90/89/01/39015031908901/mdp.39015031908901.json.bz2",231,"Bentley"
"uiuo.ark+=13960=t2697np18",1851,1850,1850,"vulgar",,,"Lytton, Rosina Bulwer Lytton","London;W. Shoberl;1851.",,"Miriam Sedley; or, The tares and the wheat",,,,,,1802,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/26/97/np/18/ark+=13960=t2697np18/uiuo.ark+=13960=t2697np18.json.bz2",35,"Shoberl"
"uc1.b3548184",1850,1850,1850,"vulgar",,,"Warburton, Eliot","New York;Harper;1850.",,"Reginald Hastings",,,,,,1810,"m","ir",,,,"uc1/pairtree_root/b3/54/81/84/b3548184/uc1.b3548184.json.bz2",4,"Harper"
"uiuo.ark+=13960=t5fb5p49z",1851,1851,1851,"elite",8718921,10571983,"Ponsonby, Emily","London;Colburn;1851.","v.1","Clare Abbey, or, The trials of youth","rev","<blank>","<blank>",1853,"ER",1817,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/p4/9z/ark+=13960=t5fb5p49z/uiuo.ark+=13960=t5fb5p49z.json.bz2",33,"Colburn"
"uiuo.ark+=13960=t9086r70j",1851,1851,1851,"vulgar",,,"Daniel, Mackenzie","London;T.C. Newby;1851.",,"Fernley Manor",,,,,,1823,"f","uk","Mrs R Mackenzie Daniel, née Elizabeth Daniel",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/90/86/r7/0j/ark+=13960=t9086r70j/uiuo.ark+=13960=t9086r70j.json.bz2",12,"Newby"
"uc2.ark+=13960=t2h708h89",1851,1851,1851,"vulgar",,,"Pearson, Emily C","Hartford;Brockett, Fuller and co.;1851.",,"Jamie Parker, the fugitive",,,,,,1818,"f","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/2h/70/8h/89/ark+=13960=t2h708h89/uc2.ark+=13960=t2h708h89.json.bz2",2,"Hartford Brockett Fuller"
"nyp.33433074872015",1851,1851,1851,"vulgar",,,"Howitt, Mary Botham","New York;D. Appleton;1851.",,"The heir of Wast-Wayland",,,,,,1799,"f","uk",,,,"nyp/pairtree_root/33/43/30/74/87/20/15/33433074872015/nyp.33433074872015.json.bz2",61,"Appleton"
"uiuo.ark+=13960=t0tq6857p",1851,1851,1851,"elite",8721272,8813745,"Dalrymple, J. Elphinstone","London;Colburn;1851.","v.1","The Livingstones","rev","neg","<blank>",1852,"TEM",,"f","uk","Mrs",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/85/7p/ark+=13960=t0tq6857p/uiuo.ark+=13960=t0tq6857p.json.bz2",3,"Colburn"
"uc2.ark+=13960=t4rj4df5z",1869,1851,1851,"vulgar",,,"Mitchell, Donald Grant","New York;C. Scribner and company;1869, [c1863",,"Dream life",,,,,,1822,"m","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4r/j4/df/5z/ark+=13960=t4rj4df5z/uc2.ark+=13960=t4rj4df5z.json.bz2",60,"Scribner"
"uc1.b4145140",1852,1851,1851,"elite",6166384,62096043,"Stowe, Harriet Beecher","London;J. Cassell;1852.","<blank>","Uncle Tom's cabin","rev","pos","pop",1855,"ER",1811,"f","us",,,,,108,"Cassell"
"uc1.b4717980",1860,1851,1851,"vulgar",,,"Reid, Mayne","Nashville, Tenn.;The Author;1860.",,"The war trail, or, The hunt of the wild horse",,,,,,1818,"m","us",,,,"uc1/pairtree_root/b4/71/79/80/b4717980/uc1.b4717980.json.bz2",177,"Nashville Tenn Author"
"uc2.ark+=13960=t5h98zv6n",1860,1851,1851,"vulgar",,,"Luke, Jemima Thompson","Philadelphia;J. E. Potter and company;1860",,"The female Jesuit;",,,,,,1813,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5h/98/zv/6n/ark+=13960=t5h98zv6n/uc2.ark+=13960=t5h98zv6n.json.bz2",3,"Potter"
"uiuo.ark+=13960=t6834cj82",1851,1851,1855,"elite",8721569,21920615,"Oliphant, Margaret","London;H. Colburn;1851.","v.2","Merkland","rev","<blank>","<blank>",1855,"TEM",1828,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/68/34/cj/82/ark+=13960=t6834cj82/uiuo.ark+=13960=t6834cj82.json.bz2",305,"Colburn"
"uiuo.ark+=13960=t0tq6hk31",1851,1851,1851,"elite",8718921,10571983,"Ponsonby, Emily","London;Colburn;1851.","v.2","Clare Abbey, or, The trials of youth","rev","<blank>","<blank>",1853,"ER",1817,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/hk/31/ark+=13960=t0tq6hk31/uiuo.ark+=13960=t0tq6hk31.json.bz2",33,"Colburn"
"uiuo.ark+=13960=t81k02901",1851,1851,1851,"vulgar",,,"Pinkney, Jane Vaughan","London;T.C.Newby;1851.",,"The young doctor",,,,,,1827,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/81/k0/29/01/ark+=13960=t81k02901/uiuo.ark+=13960=t81k02901.json.bz2",6,"Newby"
"uc1.b3327058",1851,1851,1851,"vulgar",,,"Murray, Hamilton","London;Colburn;1851.",,"Falkenburg",,,,,,1813,"f","uk","Blaze de Bury, baroness",,,"uc1/pairtree_root/b3/32/70/58/b3327058/uc1.b3327058.json.bz2",10,"Colburn"
"dul1.ark+=13960=t2f77261f",1852,1851,1851,"vulgar",,,"Perce, Elbert","New York;Charles Scribner;1852.",,"Gulliver Joi, his three voyages",,,,,,1831,"m","us",,,,"dul1/pairtree_root/ar/k+/=1/39/60/=t/2f/77/26/1f/ark+=13960=t2f77261f/dul1.ark+=13960=t2f77261f.json.bz2",2,"Charles Scribner"
"uiuo.ark+=13960=t8w95tp2x",1851,1851,1851,"vulgar",,,"Reid, Mayne","London;Charles J. Skeet.;1851.",,"The scalp hunters",,,,,,1818,"m","us",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/8w/95/tp/2x/ark+=13960=t8w95tp2x/uiuo.ark+=13960=t8w95tp2x.json.bz2",177,"Charles Skeet"
"uiuo.ark+=13960=t5j96qq51",1851,1851,1855,"elite",8721569,21920615,"Oliphant, Margaret","London;H. Colburn;1851.","v.3","Merkland","rev","<blank>","<blank>",1855,"TEM",1828,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5j/96/qq/51/ark+=13960=t5j96qq51/uiuo.ark+=13960=t5j96qq51.json.bz2",305,"Colburn"
"uiuo.ark+=13960=t19k4x25q",1851,1851,1855,"elite",8721569,21920615,"Oliphant, Margaret","London;H. Colburn;1851.","v.1","Merkland","rev","<blank>","<blank>",1855,"TEM",1828,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/19/k4/x2/5q/ark+=13960=t19k4x25q/uiuo.ark+=13960=t19k4x25q.json.bz2",305,"Colburn"
"uc2.ark+=13960=t8tb0zk22",1851,1851,1851,"elite",7671220,16516558,"Roe, A. S","New York;D. Appleton & Company;Philadelphia;G.S. Appleton;1851.","<blank>","To love and to be loved","rev","<blank>","<blank>",1855,"TEM",1798,,"us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8t/b0/zk/22/ark+=13960=t8tb0zk22/uc2.ark+=13960=t8tb0zk22.json.bz2",12,"Appleton"
"uva.x030802597",1851,1851,1851,"vulgar",,,"Knight, Helen C","Philadelphia;American Sunday-School Union;1851.",,"Hugh Fisher",,,,,,1814,"f","us",,,,"uva/pairtree_root/x0/30/80/25/97/x030802597/uva.x030802597.json.bz2",8,"American Sunday School Union"
"njp.32101064715665",1851,1851,1851,"vulgar",,,"Southworth, Emma Dorothy Eliza Nevitte","New York;D. Appleton;Philadelphia;George S. Appleton;1851.",,"Shannodale",,,,,,1819,"f","us",,,,"njp/pairtree_root/32/10/10/64/71/56/65/32101064715665/njp.32101064715665.json.bz2",82,"Appleton George"
"mdp.39015063516614",1851,1851,1851,"elite",326943,1692038,"Borrow, George Henry","London;J. Murray;1851.","v.1","Lavengro;","rev","<blank>","<blank>",1857,"QR",1803,"m","uk",,,,"mdp/pairtree_root/39/01/50/63/51/66/14/39015063516614/mdp.39015063516614.json.bz2",23,"Murray"
