docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,decade
nnc1.0043351883,1820,1820,1820,reviewed,8400096.0,79367578.0,"Cornwall, Barry,",London;C. and J. Ollier;1820.,,A Sicilian story,rev,,,1820.0,ER,1787,m,uk,,,,1820
uc1.b274870,1829,1829,1829,reviewed,6518294.0,1536094.0,"Davidson, Lucretia Maria,",New York;G. & C. & H. Carvill;1829.,,"Amir Khan, and other poems",rev,pos,,1829.0,QR,1808,f,us,,,,1820
uc2.ark+=13960=t09w0f810,1825,1825,1825,random,7687139.0,,"Cursham, Mary Anne.",London;Longman;1825.,,Martin Luther,,,,,,,f,uk,,,,1820
hvd.32044020453569,1824,1824,1824,random,9726020.0,,"Pickering, Henry,",Salem;Cushing and Appleton;1824;(John D. Cushing),,Athens,,,,,,1781,m,us,,,,1820
mdp.39015025920235,1830,1830,1823,reviewed,209063.0,3688601.0,"Rogers, Samuel,",London;T. Cadell;1830.,,"Italy, a poem",rev,pos,,1828.0,QR,1763,m,uk,,,,1830
hvd.hnnzqj,1835,1835,1835,reviewed,8585960.0,9345963.0,"Alford, Henry,","Cambridge;Printed at the Pitt press, by John Smith for Longman and J. & J. J. Deighton;1835.",v.2,The school of the heart,rev,,,1835.0,ER,1810,m,uk,,,,1830
uc1.b4104953,1837,1837,1832,reviewed,6156109.0,11685732.0,"Bryant, William Cullen,",New York;Harper & Brothers;1839.,,Poems,rev,pos,,1842.0,GrM,1794,m,us,,,y,1830
uc2.ark+=13960=t52f7kv9h,1833,1833,1825,reviewed,7653914.0,16618270.0,"Brooks, Maria Gowen,",London;Kennett;1833.,,"Zóphiël; or, The bride of seven",rev,pos,,1840.0,QR,1794,f,us,,,,1830
njp.32101067631919,1837,1837,1837,random,7687238.0,,"Dearden, William,","London;Longman, Rees, Orme, Brown, Green, & Longman; [etc., etc.;MDCCCXXXVII [1837",,The star-seeker,,,,,,,m,uk,,,,1830
njp.32101064671389,1834,1834,1834,random,9408928.0,,"Trenhaile, J.","London;Longman, Rees, Orme, Brown, Green, & Longman;Devonport;W. Byers;1834.",,Recreations in rhyme,,,,,,1792,m,uk,,,,1830
nyp.33433076030117,1833,1833,1833,random,284595.0,,"Clark, Willis Gaylord,",Philadelphia;Key & Biddle;1833.,,The spirit of life;,,,,,,1808,m,us,,,,1830
nyp.33433076034895,1831,1831,1831,random,8656477.0,,"Hill, George,",Washington;Thompson and Homans;1831.,,The ruins of Athens,,,,,,1796,m,us,,,,1830
uc2.ark+=13960=t5p84dd5d,1845,1845,1845,reviewed,1423580.0,5469195.0,"Norton, Caroline Sheridan,",London;Chapman and Hall;1845.,,The Child of the Islands,rev,pos,,1845.0,ER,1808,f,uk,,,,1840
njp.32101068138765,1845,1845,1844,reviewed,,,"Browning, Elizabeth Barrett,",New-York;Henry G. Langley;1845.,,A drama of exile,rev,,,1857.0,WR,1806,f,uk,,,y,1840
nyp.33433074907142,1849,1849,1847,reviewed,8662846.0,12715851.0,"Howitt, Mary Botham,",New York;G. P. Putnam;1849.,,Ballads and other poems,rev,,,1851.0,WR,1799,f,uk,,,,1840
hvd.32044058247099,1842,1842,1842,reviewed,1024660.0,3773524.0,"Tennyson, Alfred Tennyson,",Boston;W.D. Ticknor;1842.,v.1,Poems in two volumes,rev,pos,,1842.0,GrM,1809,m,uk,,,y,1840
uc2.ark+=13960=t9959jh8d,1847,1847,1847,reviewed,1427031.0,2971128.0,"Taylor, Henry,",London;E. Moxon;1847.,,"The eve of the conquest, and other poems",rev,pos,,1849.0,ER,1800,m,uk,,,,1840
uc1.b182952,1840,1840,1838,reviewed,6652066.0,4308782.0,"Morris, Charles,",London;R. Bentley;1840.,v.1,Lyra urbanica;,rev,,,1841.0,BM,1745,m,uk,,,,1840
