docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,path,authsvols,publisher,decade
uc1.b3321953,1855,1855,1855.0,elite,7915090.0,11262567,"Brooks, Shirley",London;R. Bentley;1855.,v. 1,Aspen court;,rev,pos,<blank>,1855,TEM,1816.0,m,uk,,,,uc1/pairtree_root/b3/32/19/53/b3321953/uc1.b3321953.json.bz2,24,Bentley,1850
uc2.ark+=13960=t28912x1q,1859,1859,1859.0,elite,7660911.0,6263120,"Hamel, Felix John","London;Simpkin, Marshall & Co.;1859.",<blank>,"Harry Roughton, or, Reminiscences of a revenue officer",rev,pos,<blank>,1859,TEM,,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/28/91/2x/1q/ark+=13960=t28912x1q/uc2.ark+=13960=t28912x1q.json.bz2,2,Simpkin Marshall,1850
uc1.b3321954,1855,1855,1855.0,elite,7915090.0,11262567,"Brooks, Shirley",London;R. Bentley;1855.,v. 2,Aspen court;,rev,pos,<blank>,1855,TEM,1816.0,m,uk,,,,uc1/pairtree_root/b3/32/19/54/b3321954/uc1.b3321954.json.bz2,24,Bentley,1850
mdp.39015031909669,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.3,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/96/69/39015031909669/mdp.39015031909669.json.bz2,231,Bentley,1850
nyp.33433074942859,1856,1856,1856.0,elite,8584543.0,<blank>,"Conybeare, William John",New York;Wiley & Halsted;1856.,<blank>,Perversion,rev,<blank>,<blank>,1856,ER,1815.0,m,uk,,,,nyp/pairtree_root/33/43/30/74/94/28/59/33433074942859/nyp.33433074942859.json.bz2,1,Wiley Halsted,1850
mdp.39015008191382,1868,1857,1857.0,elite,479694.0,10662623,"Hughes, Thomas",London;Macmillan and co.;1868.,<blank>,Tom Brown's school days,rev,<blank>,<blank>,1858,ER,1822.0,m,uk,,,,,36,Macmillan,1850
nyp.33433000665830,1853,1853,1853.0,elite,8588672.0,5632116,"St. John, James Augustus","London;Longman, Brown, Green, & Longmans;1853.",v. 2,There and back again in search of beauty,rev,<blank>,<blank>,1853,TEM,1795.0,m,uk,,,,nyp/pairtree_root/33/43/30/00/66/58/30/33433000665830/nyp.33433000665830.json.bz2,12,Longman Brown Green Longmans,1850
uiuo.ark+=13960=t8mc9hb8b,1854,1853,1853.0,elite,8717962.0,52484879,"Heighway, Osborn W. Trenery","London;Partridge, Oakey & Co.;1854.",v.2,"Adeline, or, the mysteries, romance, and realities of Jewish life",rev,<blank>,<blank>,1854,TEM,0.0,m,,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8m/c9/hb/8b/ark+=13960=t8mc9hb8b/uiuo.ark+=13960=t8mc9hb8b.json.bz2,3,Partridge Oakey,1850
nyp.33433074872908,1857,1857,1857.0,elite,8666651.0,6568920,"Lawrence, George A",New York;Harper & Brothers;1857.,<blank>,Guy Livingstone;,rev,<blank>,<blank>,1858,ER,1827.0,m,uk,,,,nyp/pairtree_root/33/43/30/74/87/29/08/33433074872908/nyp.33433074872908.json.bz2,24,Harper,1850
mdp.39015031908901,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.2,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/89/01/39015031908901/mdp.39015031908901.json.bz2,231,Bentley,1850
