docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,decade
hvd.hwjueh,1841,1841,1839,random,9730581.0,,"Emmons, Richard,",Boston;1841.,,The battle of Bunker Hill,,,,,,1788,m,us,,,,1840
hvd.hwh1bt,1841,1841,1841,random,9730588.0,,"Fitchett, John,",London;W. Pickering;1841-42.,v.2,King Alfred,,,,,,1776,m,uk,,,,1840
uc1.b4104728,1859,1859,1859,reviewed,1427309.0,3556273.0,"Tennyson, Alfred Tennyson,",Boston;Ticknor and Fields;1859.,,Idyls of the King,rev,pos,,1859.0,WR,1809,m,uk,,,y,1850
uc1.b165960,1855,1855,1855,reviewed,6641490.0,4771855.0,"Lytton, Edward Robert Bulwer Lytton,",London;Chapman and Hall;1855.,,Clytemnestra ; The earl's return ; The artist ; and other poems,rev,,,1856.0,ER,1831,m,uk,,,,1850
nyp.33433074846860,1850,1850,1849,reviewed,8663255.0,8390365.0,"Browning, Robert,","Boston;Ticknor, Reed and Fields;1850.",v.1,Poems,rev,pos,,1849.0,GrM,1812,m,uk,,,y,1850
nyp.33433074858238,1851,1851,1851,reviewed,8663222.0,549887.0,"Browning, Elizabeth Barrett,",New York;C. S. Francis;Boston;J. H. Francis;1851.,,"Prometheus bound, and other poems;",rev,,,1840.0,QR,1806,f,uk,,,y,1850
njp.32101066456896,1856,1856,1856,reviewed,8928000.0,13392077.0,"Clive, Caroline,",London;Saunders;1856.,,Poems,rev,,,1856.0,ER,1801,f,uk,,,,1850
njp.32101073982710,1853,1853,1853,reviewed,7469047.0,7951177.0,"Browning, Elizabeth Barrett,",London;Chapman & Hall;1853.,v.2,Poems,rev,,,1857.0,WR,1806,f,uk,,,y,1850
loc.ark+=13960=t3417h040,1853,1853,1853,random,9561834.0,,"Gould, Hannah F[lagg],","Boston;Crosby, Nichols, & co.;1853.",,"The mother's dream, and other poems",,,,,,1789,f,us,,,,1850
loc.ark+=13960=t5q81tq24,1854,1854,1854,random,5946355.0,,"Blake, Emma M.",Charleston;Privately printed for D. Blake;1854,,Reliquae,,,,,,,f,us,,,,1850
nyp.33433074899968,1852,1852,1852,random,8663331.0,,"MacLean, Anna Jane.",Dublin;J. McGlashan;1852.,,Eman More,,,,,,1793,f,ir,,,,1850
nyp.33433074849005,1859,1859,1859,random,7687353.0,,"Farrar, F. W.",Cambridge;Macmillan;1859.,,Lyrics of life,,,,,,1831,m,uk,,,,1850
uc2.ark+=13960=t8x927004,1859,1859,1859,random,7685611.0,,"Beer, John T.",Leeds;Briggate;1859.,,Miscellaneous poems,,,,,,,m,uk,,,,1850
uc2.ark+=13960=t2h70bw5m,1851,1851,1851,random,1187558.0,,"Tuckerman, Henry T.","Boston;Ticknor, Reed, and Fields;1851.",,Poems,,,,,,1813,m,us,,,,1850
loc.ark+=13960=t6349841r,1864,1864,1864,reviewed,9576760.0,30440917.0,"Tuckerman, Frederick Goddard,",Boston;Ticknor and Fields;1864.,,Poems,rev,,elite,1864.0,ATL,1821,m,us,,,,1860
uc2.ark+=13960=t2k64b16p,1866,1866,1866,reviewed,7645903.0,3079144.0,"Janvier, Francis De Haes,",Philadelphia;J. B. Lippincott & Co.;1866.,,Patriotic poems,rev,,,1866.0,ATL,1817,m,us,,,,1860
uc2.ark+=13960=t3dz0f69d,1860,1860,1860,reviewed,5261368.0,2946939.0,"Whittier, John Greenleaf,",Boston;Ticknor and Fields;1860.,,Home ballads and poems,rev,pos,,1860.0,ATL,1807,m,us,,,y,1860
njp.32101025285659,1862,1862,1862,reviewed,8887133.0,4727590.0,"Clough, Arthur Hugh,",Boston;Ticknor and Fields;1862.,,Poems,rev,,,1862.0,BM,1819,m,uk,,,,1860
uc1.b166949,1866,1866,1866,reviewed,3145507.0,4254761.0,"Rossetti, Christina Georgina,",London;Macmillan and co.;1866.,,The prince's progress and other poems,rev,pos,,1866.0,WR,1830,f,uk,,,y,1860
uc1.b274909,1867,1867,1861,reviewed,6518328.0,4186986.0,"Greenwell, Dora,",London;Alexander Strahan;1867.,,Poems,rev,,,1861.0,WR,1821,f,uk,,,,1860
uc2.ark+=13960=fk23b5wf3t,1860,1860,1860,reviewed,6518285.0,4645136.0,"Craik, Dinah Maria Mulock,",Boston;Ticknor and Fields;1860.,,Poems,rev,,,1860.0,ATL,1826,f,uk,,,,1860
njp.32101067646750,1864,1864,1864,reviewed,8962019.0,8625949.0,"Hooper, Lucy Hamilton,",Philadelphia;Leypoldt;1864.,,Poems;,rev,,,1871.0,ATL,1835,f,us,,,,1860
uc2.ark+=13960=t40r9pj9p,1867,1867,1867,random,,,"Sawers, Eliza.",Edinburgh;J. Maclaren;1867.,,Under a cloud,,,,,,,f,uk,,,,1860
njp.32101068972841,1863,1863,1863,random,8975917.0,,"Law, Isabella.","London;Smith, Elder;1863.",,Winter weavings,,,,,,,f,uk,,,,1860
loc.ark+=13960=t5w671s6k,1861,1861,1861,random,6518348.0,,"Jones, Amanda Theodocia,",Buffalo;H. H. Otis [etc.;1861.,,"Ulah, and other poems",,,,,,1835,f,us,,,,1860
njp.32101051388039,1862,1862,1862,random,8899308.0,,"Fotherby, Marie J. E.","London;A. Hall, Virtue & Co.;1862.",,Poems,,,,,,1831,f,uk,,,,1860
loc.ark+=13960=t1kh1508t,1865,1865,1864,random,9608003.0,,"Halleck, Fitz-Greene,",New York;D. Appleton and company;1865.,,Young America,,,,,,1790,m,us,,,,1860
loc.ark+=13960=t7sn0q200,1860,1860,1860,random,9566453.0,,"Chapman, George Walton,",New York;Rudd & Carleton;1860.,,A tribute to Kane,,,,,,1812,m,us,,,,1860
uc1.$b389270,1864,1864,1864,random,7693607.0,,"Warren, John Byrne Leicester,",London;Macmillan;1864.,,"Eclogues and monodramas; or, A collection of verses",,,,,,1835,m,uk,,,,1860
loc.ark+=13960=t7jq1gj08,1862,1862,1862,random,9559402.0,,"Hewes, George Whitfield.",New York;Carleton;1862.,,Ballads of the war,,,,,,1835,m,us,,estimated birth,,1860
uc2.ark+=13960=t42r3t80r,1873,1873,1873,reviewed,6611528.0,1739342.0,"Brown, T. E.",London;Macmillan;1873.,,Betsy Lee,rev,neg,,1873.0,ATL,1830,m,uk,,,,1870
uc1.32106001950101,1870,1870,1870,reviewed,7114122.0,232989876.0,"Rossetti, Dante Gabriel,",Boston;Roberts brothers;1870.,,Poems,pub,,,1869.0,FR,1848,m,uk,,,y,1870
loc.ark+=13960=t5n881k59,1878,1878,1878,reviewed,8961861.0,3816064.0,"Fawcett, Edgar,",Boston;Roberts brothers;1878.,,Fantasy and passion,rev,pos,,1878.0,ATL,1847,m,us,,,,1870
uc2.ark+=13960=t7pn9f10q,1874,1874,1874,reviewed,6130501.0,11400948.0,"Lytton, Edward Robert Bulwer Lytton,",Edinburgh;London;William Blackwood and Sons;1874.,v.1,Fables in song,rev,,,1874.0,FR,1803,m,uk,,,,1870
uc1.b3315153,1875,1875,1875,reviewed,6130725.0,4141256.0,"Scott, William Bell,","London;Longmans, Green;1875.",,Poems,pub,,,1868.0,FR,1811,m,uk,,,,1870
uc1.b260737,1870,1870,1870,reviewed,6509062.0,6482223.0,"Weeks, Robert Kelley,",New York;Leypoldt & Holt;1870.,,Episodes and lyric pieces,rev,,,1871.0,ATL,1840,m,us,,,,1870
njp.32101068175072,1871,1871,1871,reviewed,8968934.0,20742890.0,"Butler, William Allen,",Boston;James R. Osgood and Company;1871.,,Poems,rev,,,1872.0,ATL,1825,m,us,,,,1870
nyp.33433076035140,1870,1870,1845,reviewed,,,"Poe, Edgar Allan,",New York;G. Routledge & Sons Ltd.;187-?,,Poetical Works of Edgar Allen Poe,rev,,,1859.0,ATL,1809,m,us,,,y,1870
uc2.ark+=13960=t9p26w55v,1878,1878,1878,reviewed,7691551.0,4077880.0,"Phillips, Susan K.",London;Macmillan;1878.,,On the seaboard,rev,,,1879.0,COR,1831,f,uk,,,,1870
uc1.b274713,1875,1875,1874,reviewed,6518166.0,3801953.0,"Perry, Nora,",Boston;J. R. Osgood;1875.,,After the ball,rev,pos,,1874.0,ATL,1831,f,us,,,,1870
loc.ark+=13960=t95720v25,1872,1872,1872,reviewed,9571531.0,,"Thaxter, Celia,",New York;Hurd and Houghton;Cambridge [Mass.;Riverside Press;1872.,,Poems,rev,pos,,1872.0,ATL,1835,f,us,,,,1870
mdp.39015013157980,1878,1878,1871,reviewed,321003.0,10334702.0,"[Piatt, Sarah M. B.",Boston;J. R. Osgood and company;1878.,,A woman's poems,rev,pos,,1871.0,ATL,1836,f,us,,,,1870
nyp.33433066640792,1872,1872,1870,reviewed,8657545.0,7115412.0,"Jackson, Helen Hunt,",Boston;James R. Osgood;1872.,,Verses,rev,pos,,1871.0,ATL,1830,f,us,,,,1870
uc2.ark+=13960=t7vm4642f,1878,1878,1878,reviewed,6518314.0,2495953.0,"Elliot, Charlotte,",London;C. Kegan Paul & Co.;1878.,,Medusa and other poems,rev,pos,,1878.0,BM,1789,f,uk,,,,1870
uc2.ark+=13960=t9p26qv5r,1872,1872,1872,reviewed,7657105.0,6245604.0,"Dorr, Julia C. R.",Philadelphia;J. B. Lippincott & Co.;1872.,,Poems,rev,,,1872.0,ATL,1825,f,us,,,,1870
nyp.33433066643903,1879,1879,1879,reviewed,8660011.0,16409225.0,"Bates, Charlotte Fiske,","Boston;A. Williams and Co.;1881, c1879.",,"Risk, and other poems",pub,,,1870.0,ATL,1838,f,us,,,,1870
wu.89098011836,1878,1878,1878,random,5946347.0,,"Bell, Lura,","Augusta, Me.;s.n.;1878.",,Echoes of time and tide,,,,,,1859,f,us,,,,1870
njp.32101066457894,1871,1871,1871,random,8928064.0,,"Cooke, Belle W.","Salem, Or.;E. M. Waite, printer;1871.",,Tears and victory,,,,,,1834,f,us,,,,1870
loc.ark+=13960=t3nw08094,1871,1871,1871,random,,,"Spalding, Lucy Billings,",Philadelphia;J.B. Lippincott & Co.;1871.,,"The ruined statues, and other poems",,,,,,1839,f,us,,,,1870
uc1.b274748,1870,1870,1870,random,,,"Stephens, Lydia W.",Philadelphia;Daughaday & Becker;1870.,,Heart Problems,,,,,,,f,us,,,,1870
mdp.39015071556941,1877,1877,1877,random,3149243.0,,"King, Delia Chase","Ypsilanti, Mich.;Commercial Steam Printing House;1877.",,The tidal wave,,,,,,,f,us,,,,1870
uc1.b255800,1877,1877,1877,random,,,"Budge, Jane,",London;S. Harris;1877.,,Poems.,,,,,,,f,uk,,,,1870
loc.ark+=13960=t5t72zr45,1879,1879,1879,random,9575256.0,,"Eastman, Elaine Goodale,",New York;G. P. Putnam's sons;1879-80.,,In Berkshire with the wild flowers,,,,,,1863,f,us,,,,1870
loc.ark+=13960=t6737bz3f,1872,1872,1872,random,9583819.0,,"Ramsey, V. G.","Boston;D. Lothrop & co.;Dover, N.H.;G. T. Day & co.;1872.",,A legend of the White Hills,,,,,,1817,f,us,,,,1870
loc.ark+=13960=t8ff4bv0c,1878,1878,1878,random,9596023.0,,"Means, Alexander,",New York;E. J. Hale & son;1878.,,A cluster of poems,,,,,,1801,m,us,,,,1870
uc1.b253348,1878,1878,1878,random,6504377.0,,"Cowan, Frank,","Greensburg, Pa.;Printed by the Author;1878.",,Southwestern Pennsylvania in song and story,,,,,,1844,m,us,,,,1870
uc2.ark+=13960=t6057k92v,1871,1871,1871,random,7689741.0,,"Kingsley, Henry,",London;New York;Macmillan;1871.,,The lost child,,,,,,1830,m,uk,,anthology,,1870
nyp.33433074963582,1871,1871,1871,random,,,"Stanton, Henry T.","Baltimore;Henry C. Turnbull, Jr.;1871.",,"The Moneyless Man, and Other Poems",,,,,,1834,m,us,,,,1870
uc1.b119720,1875,1875,1875,random,,,"Veitch, John,",,,"The Tweed, and Other Poems",,,,,,1829,m,uk,,,,1870
loc.ark+=13960=t3cz3pj65,1873,1873,1873,random,9573845.0,,"Case, Leonard,",Boston;J.R. Osgood and company;1873.,,Treasure trove;,,,,,,1820,m,us,,,,1870
uc2.ark+=13960=t6vx06j62,1873,1873,1873,random,1424049.0,,"Saltus, Francis Saltus,",Philadelphia;J. B. Lippincott & co.;1873.,,Honey and gall,,,,,,1849,m,us,,,,1870
loc.ark+=13960=t0wq0dz13,1872,1872,1872,random,9609113.0,,"Armstrong, J. A.","Brooklyn;E. Darbee, Printer;1872.",,Harvest,,,,,,,m,us,,,,1870
mdp.39015063753589,1880,1880,1880,reviewed,244525.0,1356896.0,"Arnold, Edwin,",Boston;Robert brothers;1880.,,Poems,rev,,,1881.0,ATL,1832,m,uk,,,,1880
uc1.31822038204301,1881,1881,1881,reviewed,10824214.0,5175655.0,"Wilde, Oscar,",London;D. Bogue;1881,,Poems,rev,,,1881.0,ATL,1854,m,ir,,,y,1880
loc.ark+=13960=t4nk3w12z,1886,1886,1886,reviewed,8994309.0,3179649.0,"Adams, Oscar Fay,",Boston;D. Lothrop and company;1886,,Post-laureate idyls,rev,,,1887.0,ATL,1855,m,us,,,,1880
uc1.b166039,1880,1880,1880,reviewed,6641553.0,24308060.0,"Morris, Lewis,",London;C. Kegan Paul;1880.,,The ode of life,rev,,,1880.0,ATL,1833,m,uk,,,,1880
inu.32000007041967,1881,1881,1881,reviewed,6059237.0,,"Morris, William,",Boston;Roberts;1881.,,The story of Sigurd the Volsung and the fall of Niblungs,,,,1867.0,FR,1834,m,uk,,Published later than review date,y,1880
mdp.39015059390164,1880,1880,1857,reviewed,115769.0,3069063.0,"Blackie, John Stuart,",Edinburgh;London;W. Blackwood and sons;1880.,,Lays and Legends of Ancient Greece,rev,pos,,1857.0,WR,1809,m,uk,,,,1880
mdp.49015002077973,1882,1882,1855,reviewed,4550565.0,123191189.0,"Whitman, Walt,","Philadelphia, Penn.;Rees Welsh;1882.",,Leaves of grass,rev,neg,pop,1860.0,WR,1819,m,us,,,y,1880
njp.32101067629178,1886,1886,1886,reviewed,8961191.0,7990999.0,"Bates, Arlo,","Boston;Roberts Brothers;1888, c1886.",,Berries of the brier,rev,,,1887.0,ATL,1850,m,us,,,,1880
loc.ark+=13960=t41r7d74g,1882,1882,1881,reviewed,9609989.0,,"Rossetti, Dante Gabriel,",Boston;Roberts brothers;1882.,,Ballads and sonnets,rev,pos,,1882.0,MM,1848,m,uk,,,y,1880
loc.ark+=13960=t18k7vr3q,1887,1887,1887,reviewed,8404936.0,3825019.0,"Roche, James Jeffrey,",Boston;Ticknor and Company;1887.,,Songs and satires,rev,,,1887.0,ATL,1847,m,us,,,,1880
uc1.b4410403,1888,1888,1888,reviewed,7508982.0,1024791.0,"Lowell, James Russell,","Boston;New York;Houghton, Mifflin and Co.;1888.",,Heartsease and rue,rev,pos,elite,1891.0,FR,1819,m,us,,,y,1880
uc2.ark+=13960=t5w66h075,1881,1881,1881,reviewed,907489.0,387912.0,"Palgrave, Francis Turner,",London;Macmillan;1881.,,The visions of England,rev,pos,,1882.0,MM,1824,m,uk,,,,1880
nyp.33433066638408,1882,1882,1880,reviewed,8656819.0,15625148.0,"Longfellow, Henry Wadsworth,","Boston;Houghton, Mifflin and Company;1882, c1880;(Cambridge;The Riverside Press)",,Ultima Thule,rev,,,1880.0,ATL,1807,m,us,,,y,1880
nyp.33433075742266,1883,1883,1883,reviewed,1027891.0,1655279.0,"Thompson, Maurice,",Boston;J. R. Osgood and company;1883.,,Songs of fair weather,rev,,,1883.0,ATL,1844,m,us,,,,1880
inu.32000000641847,1880,1880,1880,reviewed,6061144.0,2549072.0,"Thomson, James,",London;Reeves and Turner;1880.,,The city of dreadful night,rev,,,1880.0,FR,1834,m,uk,,,,1880
mdp.39015013092401,1885,1885,1885,reviewed,288161.0,580646.0,"Tennyson, Alfred Tennyson,",London;Macmillan and Co.;1885.,,Tiresias,rev,pos,,1886.0,FR,1809,m,uk,,,y,1880
uc2.ark+=13960=t8bg2n21x,1889,1889,1889,reviewed,7689964.0,11168588.0,"Levy, Amy,",London;T. Fisher Unwin;1889.,,A London plane-tree,rev,,,1890.0,BM,1861,f,uk,,,,1880
uc2.ark+=13960=t7rn35b8n,1889,1889,1889,reviewed,6058104.0,603074.0,"Blind, Mathilde,",London;Chatto & Windus;1889.,,The ascent of man,rev,,,1889.0,BM,1841,f,uk,,,,1880
loc.ark+=13960=t2891sf2m,1886,1886,1886,reviewed,9595695.0,,"Thaxter, Celia,","Boston;Houghton, Mifflin;1886.",,"The cruise of the Mystery, and other poems",rev,,,1887.0,ATL,1835,f,us,,,,1880
uc2.ark+=13960=t3bz6276h,1880,1880,1880,reviewed,7660565.0,13473939.0,"Greenough, Richard S.,","Boston;James R. Osgood & Co. ...;1883, c1880.",,Mary Magdalene,rev,pos,,1881.0,ATL,1827,f,us,"Greenough, Richard S., Mrs.",,,1880
uc2.ark+=13960=t9n29q258,1881,1881,1881,reviewed,7657492.0,2719145.0,"Fields, Annie,","Boston;Houghton, Mifflin and company;1881.",,Under the olive,rev,,,1881.0,ATL,1834,f,us,"Fields, Annie Adams",,,1880
nyp.33433075742027,1887,1887,1887,reviewed,8657540.0,16125657.0,"Thomas, Edith Matilda,","Boston;New York;Houghton, Mifflin and Company;1889, c1887;(Cambridge;The Riverside Press).",,Lyrics and sonnets,rev,pos,,1888.0,ATL,1854,f,us,,,,1880
wu.89098012313,1880,1880,1880,reviewed,5946364.0,10245762.0,"Bostwick, Helen Louise Barron,",Philadelphia;E. Claxton;1880.,,Four-o'clocks,rev,,,1881.0,ATL,1826,f,us,,obscure,,1880
