docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,tags
24593,2174,,,"Updike, John,",New York Alfred A. Knopf 1997,1997,1932,1997,,Fiction;Science fiction;Massachusetts;Retired executives;Man-woman relationships;Families;Fiction;Quantum theory,Toward the end of time,us,m,chiscifi
uc2.ark+=13960=t3125st2r,7664297,11295112,,"Kerr, Doris Boake,",Melbourne;,1917,1889,1917,,,Painted clay,au,f,teamred | random
mdp.39015021039998,1910357,4418502,,"Maturin, Charles Robert,",London;R. ,1892,1782,1820,v.2,,Melmoth the wanderer,ir,m,teamblack | pbgothic
uc2.ark+=13960=t1td9p949,7670886,3916924,,"Reeve, Clara,",London;E. ,1778,1729,1777,,,The old English baron,uk,f,teamblack | pbgothic
nyp.33433022846707,7923007,10334594,,"Myers, P. Hamilton",New York;P,1850,1812,1850,,,The King of the Hurons,us,m,teamblack | random
nyp.33433074919402,8663847,36143063,,"Ainsworth, William Harris",London;New,1858,1805,1840,,Lady;Engli,The Tower of London,uk,m,teamred | pbgothic | stew
10853,,,,"Heinlein, Robert A.",New York; ,1947,,1947,,Science fi,Rocket ship Galileo,us,m,chirandom | teamred | chiscifi
uiuo.ark+=13960=t4km00443,8721875,2026857,PR4034.N7 1818,"Austen, Jane,",London;Joh,1818,1775,1818,v. 3,Rejection ,Northanger Abbey,uk,f,teamred | lochorror | stew
nyp.33433082332069,5805688,1410101,,"Hope, Laura Lee.",New York;G,1922,,1922,,Bobbsey Tw,The Bobbsey Twins at the ,,f,teamblack | locdetmyst | juvenile | drop
20794,,,,"Peters, Elizabeth,",New York M,1968,1927,1968,,Egypt;Roma,The jackal's head,us,f,chirandom | teamblack
10355,,,,"Leinster, Murray,",New York B,1931,1896,1931,,Science fi,Murder madness,us,m,teamblack | chiscifi
uva.x000380956,8719887,2867357,PQ2469.D3E45 1874,"Verne, Jules,",New York;S,1874,1828,1865,,,From the Earth to the Moo,fr,m,teamred | anatscifi | stew
nyp.33433074870266,7660911,6263120,,"Hamel, Felix John.",London;Sim,1859,,1859,,Criminals;,"Harry Roughton, or, Remin",uk,m,teamblack | locdetmyst
uc2.ark+=13960=t10p0xs0f,6533865,11601379,,"Harding, Ellison.",London;T. ,1908,1883,1908,,Utopias;Sc,The woman who vowed,us,m,teamblack | locscifi
10337,,,,"Kline, Otis Adelbert,",Chicago A.,1930,1891,1930,,Science fi,The prince of peril,us,m,teamblack | chiscifi
20021,,,,"MacDonald, John D.",New York G,1951,1916,1951,,Science fi,Wine of the dreamers,us,m,teamblack | chiscifi | stew
dul1.ark+=13960=t41r7h934,10944411,982656,,"Shelley, Mary Wollstonecr",Philadelph,1833,1797,1826,v.2,,The last man,uk,f,teamblack | femscifi | stew
10514,,,,"Bristow, Gwen,",New York T,1937,1903,1937,,Plantation,Deep summer,us,f,chirandom | teamblack
20026,,,,"Merwin, Sam,",Garden Cit,1951,1910,1951,,Science fi,The house of many worlds,us,m,chirandom | teamred | chiscifi
nyp.33433076056781,6155283,20963778,PS3144.W212R46 1891,"Ward, Herbert Dickinson,",New York;T,1891,,1891,,Science fi,A republic without a pres,,m,teamblack | locscifi | stew
njp.32101068574530,8972389,11192817,,"Orczy, Emmuska Orczy,",London;New,1910,1865,1910,,,Lady Molly of Scotland Ya,uk,f,det100 | teamblack
njp.32101032308387,8888080,8909779,,"Lytton, Edward Bulwer Lyt",Philadelph,1881,1803,1832,,,Eugene Aram,uk,m,teamred | newgate
21079,,,,"Berryman, John,",New York F,1973,1914,1973,,Psychologi,Recovery,us,m,chirandom | teamred
mdp.39015004880715,540357,26687518,,"Dickens, Charles,",London;New,1908,1812,1841,,,The old curiosity shop,uk,m,teamblack | pbgothic | stew
nyp.33433074807342,123924,1949982,PZ3.B9766Ph,"Butler, Ellis Parker,",Boston;New,1918,1869,1918,,,Philo Gubb,us,m,det100 | teamblack
mdp.39015063950102,781722,44887870,,"Radcliffe, Ann Ward,",London;Lon,1806,1764,1794,v.2,,The mysteries of Udolpho,uk,f,teamred | pbgothic
21318,,,,"Farris, John,",Chicago Pl,1976,,1976,,Psychics -,The fury,us,m,teamblack | chihorror | stew
22623,,,,"Bonanno, Margaret Wander,",New York Y,1987,,1987,,Movie nove,Strangers from the sky,us,f,teamblack | chiscifi | stew
20089,,,,"Brown, Fredric,",New York E,1953,1906,1953,,Science fi,The lights in the sky are,us,m,chirandom | teamred | chiscifi | stew
nyp.33433082332051,5104159,2683185,,"Hope, Laura Lee.",New York;G,1916,,1916,,Treasure t,The Bobbsey twins at home,,f,teamred | locdetmyst | juvenile | drop
20374,,,,"Heinlein, Robert A.",New York P,1959,1907,1959,,Juvenile w,Starship troopers,us,m,teamblack | chiscifi | stew
dul1.ark+=13960=t3vt2js1t,10942285,13274424,,"Bennett, Anna Maria,",Dublin;Whi,1786,,1786,v.1,Publisher;,"Anna; or, Memoirs of a Welch Heiress",uk,f,teamred | random
uiuo.ark+=13960=t18k7vt5k,8719876,77209367,,"Mortimer, Edward,","London;Printed by J. Dennett, for J.F. Hughes;1807.",1807,,1807,v.4,,The friar Hildargo,uk,m,teamred | stangothic
20677,,,,"Capps, Benjamin,",New York D,1966,1922,1966,,Comanche I,A woman of the people,us,m,chirandom | teamred
20088,,,,"Bradbury, Ray,",New York B,1953,1920,1953,,Political ,Fahrenheit 451,us,m,teamblack | chiscifi | stew
mdp.39015059642994,123543,4470724,,"Stevenson, Robert Louis,",New York;C,1903,1850,1886,,,Strange case of Dr. Jekyl,uk,m,teamred | pbgothic | anatscifi | stew
24342,368,,,"Kellerman, Faye,","""Thorndike, ME"" G.K. Hall 1996",1996,1952,1996,,"Fiction;Detective and mystery stories;Decker, Peter (Fictitious character);Los Angeles;Police;California;Fiction;Lazarus, Rina (Fictitious character)",Prayers for the dead,us,f,chimyst
uc2.ark+=13960=t9c53g45j,7647543,39486112,PZ1.F885Ma,"French, Joseph Lewis,",Garden Cit,1922,,1922,v.1,Ghost stor,Masterpieces of mystery,,m,teamblack | locdetmyst | locghost
11564,,,,"Connington, J. J.",Boston Lit,1938,1880,1938,,Mystery fi,Murder will speak,uk,m,teamblack | chimyst | stew
11575,,,,"Hyde, Robin,",London Hur,1938,1906,1938,,Young wome,The godwits fly,nz,f,chirandom | teamred
11099,,,,"Lewis, C. S.",London G. ,1950,1898,1950,,Fantasy;Fa,The lion: the witch and t,uk,m,chifantasy | teamblack
11148,,,,"Knox, Ronald Arbuthnott,",London Met,1925,1888,1925,,Mystery an,The viaduct murder,uk,m,teamred | chimyst
22332,,,,"Dick, Philip K,",Chicago; I,1985,1928,1985,,Nineteen f,Puttering about in a smal,us,m,chirandom | teamblack
11226,,,,"Cox, Erle,",New York R,1928,1873,1928,,Science fi,Out of the silence,au,m,teamblack | chiscifi
nyp.33433074929393,8663988,25494127,,"Williams, John Babbington",New York;D,1865,1827,1865,,Detectives,Leaves from the note-book,us,m,teamred | locdetective | stew
20592,,,,"Kim, Richard E.",New York G,1964,1932,1964,,Korean War,The martyred,us,m,chirandom | teamred
10814,,,,"Fair, A. A.",New York W,1946,1889,1946,,Mystery fi,Crows can't count,us,m,teamred | det100 | chimyst
21341,,,,"Lutz, John,",New York P,1976,1939,1976,,Saint Loui,Buyer beware,us,m,teamred | chimyst
uva.x000315604,7656595,4839114,,"Cullum, Ridgwell,",New York;A,1914,1867,1914,,,The way of the strong;,uk,m,teamred | random
22340,,,,"Effinger, George Alec,",Garden Cit,1985,1947,1985,,Science fi,The nick of time,us,m,chirandom | teamblack | chiscifi | stew
nyp.33433076073786,8660028,4530196,PZ3.W463GlPS3545.E533,"Wells, Carolyn,",Philadelph,1911,1862,1911,,,The gold bag,us,f,teamred | det100 | stew
21607,,,,"Cline, C. Terry,",Garden Cit,1979,1935,1979,,Visions,Cross current,us,m,chirandom | teamblack
njp.32101068177094,8969050,10370714,PZ3.D8515O2,"Du Bois, Edward,",London;T.N. Longman and O. Rees;1803.,1803,1774,1801,vol.2,,Old Nick;,uk,m,teamred | random
20350,,,,"Taylor, Robert Lewis,",Garden Cit,1958,1912,1958,,Travelers,The travels of Jaimie McP,us,m,chirandom | teamred
22708,,,,"King, Stephen,",New York; ,1987,1947,1987,,Fans (Pers,Misery,us,m,teamred | pbgothic | chihorror
nyp.33433074911771,8663613,7021200,,"Robinson, Mary Darby,",London;Pri,1799,1758,1799,v. 4,English fi,The false friend,uk,f,teamred | random
20871,,,,"Brown, James Cooke,",Garden Cit,1970,1921,1970,,Utopias;Fu,The Troika incident,us,m,chiutopia | teamblack
23334,637,,,"Greenburg, Dan,",Boston Houghton Mifflin Co. 1990,1990,1936,1990,,Fiction;,Exes,us,m,chirandom
25535,1268,,,"Anderson, Kevin J.",New York Bantam Books 1995,1995,1962,1995,,"Fiction;Science fiction;Skywalker, Luke (Fictitious character);Leia, Princess (Fictitious character);Fiction;Solo, Han (Fictitious character)",Darksaber,us,m,chiscifi
uc2.ark+=13960=t5v69m62h,6750666,8594300,,"Cowan, James,",London [et,1911,1870,1911,,b. 1837;Be,The adventures of Kimble ,nz,m,teamred | random
11316,,,,"Armstrong, Martin,",London V. ,1931,1882,1931,,,The romantic adventures o,uk,m,chirandom | teamblack
10889,,,,"Chandler, Raymond,",London Pen,1948,1888,1939,,Los Angele,The big sleep,us,m,hardboiled | det100 | teamblack | chimyst
21579,,,,"Swift, Edward,",New York V,1978,1943,1978,,Librarians,Splendora,us,m,chirandom | teamred
10665,,,,"Gardner, Erle Stanley,",New York D,1942,1889,1942,,Mystery fi,The case of the empty tin,us,m,teamred | det100 | chimyst
nyp.33433075833354,1795880,30650664,,"Gaboriau, Emile,",New York;C,1906,1832,1867,,,The mystery of Orcival,fr,m,det100 | teamblack
mdp.39076002720709,9930755,213054717,,"Chapman, Allen.",New York;C,1900,,1900,,Orphans;De,"Boys of Spring Hill, or, ",,m,teamblack | locdetmyst | stew
uiuo.ark+=13960=t1ng5958h,8722137,82688894,,"Sullivan, Mary Ann.",London;A.K. Newman and Co.;1823.,1823,,1823,v.2,823SU55O1823,"Owen Castle, or, Which is the heroine?",uk,f,teamred | stangothic
nyp.33433067303937,8618455,37291665,,"Roche, Regina Maria,",New-York;P. Burtsell;1807.,1807,1763,1807,v. 1,English fiction,"The discarded son; or, Haunt of the banditti",uk,f,teamred | stangothic
nyp.33433076072051,7663321,9369637,PZ3.J547Mo,"Jewell, Edward Alden,",New York;A,1922,1888,1922,,,The moth decides,us,m,teamblack | random
25857,734,,,"Britain, Kristen,",New York Y : Daw Books : DAW Books distributed by Penguin Putnam 1998,1998,,1998,,Novel;Fantastic fiction;Fantasy fiction,Green rider,us,f,chifantasy
mdp.39015000613680,1185912,9344265,PZ3.S64657Mac,"Bramah, Ernest,",London;Met,1914,1868,1914,,,Max Carrados,uk,m,det100 | teamblack
22904,,,,"Hess, Joan,",New York S,1988,1949,1988,,Arkansas;H,Mischief in Maggody,us,f,teamblack | chimyst | stew
20044,,,,"Asimov, Isaac,",Garden Cit,1952,1920,1952,,"Seldon, Ha",Foundation and empire,us,m,chirandom | teamblack | chiscifi | stew
21500,,,,"Bova, Ben,",New York P,1978,1932,1978,,Science fi,Colony,us,m,teamred | chiscifi | stew
dul1.ark+=13960=t6446jc6s,10943923,22883408,,Anonymous4,"Naples, Pr",1764,,1764,v.2,Italy;Anvi,The memoirs of Miss D'Arv,uk,,teamblack | random
uc2.ark+=13960=t82j6cs08,5777344,1113056,DA880.H6G6,"Grant, Anne MacVicar,",London;Lon,1807,1755,1807,v.1,,Letters from the mountain,uk,f,teamblack | random
mdp.39015021040004,1910357,4418502,,"Maturin, Charles Robert,",London;R. ,1892,1782,1820,v.1,,Melmoth the wanderer,ir,m,teamblack | pbgothic | stew
21028,,,,"Highsmith, Patricia,",New York A,1972,1921,1972,,,A dog's ransom,us,f,chirandom | teamred | crime
nyp.33433082485636,7661558,8175832,D541.H8,"Hunt, Edward Eyre,",Garden Cit,1918,1885,1918,,"World War,",Tales from a famished lan,us,m,teamred | random
23825,432,,,"McCammon, Robert R,",New York Pocket Star Books 1992,1992,1952,1992,,Fiction;,Boy's life,us,m,chirandom
uc2.ark+=13960=t5n874v29,7666192,320092736,,"Lynch, Lawrence L.",Chicago;A.,1886,1853,1885,,,"Dangerous ground, or, The",us,f,det100 | teamblack
nyp.33433068179716,8622016,6599587,BF1461.B9,"Buckingham, Emma May.",New York;F,1906,,1906,,Ghost stor,Modern ghost stories,,f,teamred | locghost | stew
24564,424,,,"Rice, Anne,",New York Ballantine Books 1997,1997,1941,1997,,NotFiction;Horror tales;Lestat (Fictitious character);Vampires;Fiction,Memnoch the Devil,us,f,chihorror
uc1.b249543,6502085,2949584,,"Barr, Amelia Edith Huddle",New York;D,1898,1831,1898,,,The lost silver of Briffa,uk,f,teamblack | random
10265,,,,"Van Dine, S. S",New York: ,1926,1888,1926,,"Vance, Phi",The Benson murder case,us,m,teamred | det100 | cozy
4748,195,,,"Traprock, Walter E.","New York; London G.P. Putnam's Sons,  : The Knickerbocker Press 1922",1922,1877,1922,,Arctic Regions;Arctic regions,My northern exposure,us,m,chirandom | teamblack
10911,,,,"Queen, Ellery,",Boston Lit,1948,,1948,,Sculptor;A,Ten days' wonder,us,m,chirandom | det100 | teamblack | chimyst | cozy | stew
nyp.33433075727168,5065355,1920017,,"Fawcett, E. Douglas",London;E. ,1893,1866,1893,,,Hartmann the anarchist,uk,m,teamblack | anatscifi
25519,779,,,"Silverberg, Robert,",New York Bantam Books 1994,1994,1935,1994,,Fiction;Science fiction;Contamination (Technology);Pollution;Fiction,Hot sky at midnight,us,m,chiscifi
20899,,,,"L'Amour, Louis,",New York B,1970,1908,1970,,Land settl,Galloway,us,m,chirandom | teamred
PeakeTitusGroan1946,,,,"Peake, Mervyn,",,1946,1911,1946,,,Titus Groan,uk,m,teamblack | pbgothic | stew
21749,,,,"Kurland, Michael,",New York M,1980,1938,1980,,Science fi,The last President,us,m,teamred | chiscifi
20866,,,,"Anderson, Poul,",Garden Cit,1970,1926,1970,,Science fi,Tau zero,us,m,chirandom | teamblack | chiscifi
nyp.33433075746895,8667440,2160312,PS3537.E69C64 1911,"Serviss, Garrett Putman,",New York;L,1911,1851,1909,,Science fi,A Columbus of space,us,m,teamblack | anatscifi | locscifi
20956,,,,"Geissler, Ludwig A,",New York A,1971,,1971,,Science fi,Looking beyond,us,m,chiutopia | chiscifi | teamred | stew
10270,,,,"Hill, Grace Livingston,",New York G,1927,1865,1927,,Religious ,Job's niece,us,f,chirandom | teamblack
uc2.ark+=13960=t1gh9jr4d,245281,3789691,,"Haggard, H. Rider",London;Spe,1888,1856,1888,,,Mr. Meeson's will,uk,m,teamred | det100
uiuo.ark+=13960=t48p6974b,8721688,21073483,,"Capes, J. M.",London;R. ,1868,1813,1868,v.2,823C1712M,The mosaic-worker's daugh,uk,m,teamblack | random
mdp.39015012876820,1901293,52047650,,AnonymousGhost2,New York;H,1890,,1890,,Ghost stor,Modern ghosts,,,teamblack | locghost | stew
uiuo.ark+=13960=t9f481w8n,8718092,22350460,,"Frances, Sophia L.",London;H. Colburn;1809.,1809,,1809,v.1,,"Angelo Guicciardini, or, The bandit of the Alps",uk,f,teamred | stangothic
nyp.33433074939723,8664055,2016496,,"Besant, Walter,",New York;H,1888,1836,1888,,Fantasy fi,The inner house,uk,m,teamblack | anatscifi | stew
11252,,,,"Berkeley, Anthony,",Garden Cit,1929,1893,1929,,Mystery fi,The poisoned chocolates c,uk,m,teamblack | chimyst
nnc1.cu01664417,8418429,15737319,,"Tarkington, Booth,",New York;C,1917,1869,1900,,,Monsieur Beaucaire,us,m,teamblack | random
uva.x000960744,9776004,8523153,PS2066.A1 1873,"Irving, Washington,",New York;G,1873,1783,1820,,,The sketch-book of Geoffr,us,m,teamblack | pbgothic
20842,,,,"Pentecost, Hugh,",New York D,1969,1903,1969,,"Chambrun, ",Girl watcher's funeral,us,m,chirandom | teamblack | chimyst | stew
uiuo.ark+=13960=t6zw24n6x,8721875,2026857,PR4034.N7 1818,"Austen, Jane,",London;Joh,1818,1775,1818,v. 2,Rejection ,Northanger Abbey,uk,f,teamred | lochorror
20474,,,,"Stout, Rex,",New York V,1961,1886,1961,,Mystery fi,The final deduction,us,m,chirandom | teamblack | chimyst
11081,,,,"Joyce, James,",New York N,1944,1882,1944,,Young men ,Stephen hero,ir,m,chirandom | teamred
nyp.33433075737753,8669383,4966570,PZ3.F859Ju,"Franzos, Karl Emil,",New York;H,1891,1848,1890,,,Judith Trachtenberg,ah,m,teamred | random
nyp.33433081585105,8644958,5797357,,"Irving, Washington,",Paris;Baud,1840,1783,1832,,,Tales of the Alhambra,us,m,teamblack | pbgothic
21900,,,,"Strieber, Whitley",New York: ,1981,1945,1981,,Vampires,The hunger,us,m,teamblack | pbgothic | stew
11472,,,,"Montgomery, L. M.",Toronto Mc,1935,1874,1935,,,Mistress Pat,ca,f,chirandom | teamblack
20734,,,,"Ellin, Stanley,",New York R,1967,1916,1967,,Tutors and,House of cards,us,m,teamblack | chimyst
nyp.33433051569915,8614719,,,"Karamzin, Nikola? Mikha?lovich,",London;Printed by G. Sidney;1803.,1803,1766,1800,,,Russian tales,ru,m,teamred | random
10874,,,,"Taine, John,",Pa. Fantas,1947,1883,1947,,Science fi,The forbidden garden,us,,teamred | chiscifi
21589,,,,"Wilcox, Collin,",New York R,1978,1924,1978,,"Hastings, ",The watcher,us,m,teamred | chimyst | stew
uva.x001307832,9782975,21309411,,"Green, Anna Katharine,",New York;G,1906,1846,1888,,,Behind closed doors,us,f,teamred | det100 | stew
uc1.b3728033,6704620,1222065,PZ3.B482APS3503.I54,"Biggers, Earl Derr,",Indianapol,1916,1884,1916,,Police;Hon,The agony column,us,m,det100 | teamblack | stew
uc2.ark+=13960=t1pg1k81k,7661701,7557147,PZ3.J2355Th,"James, M. R.",New York;L,1919,1862,1919,,,A thin ghost and others,uk,m,teamred | pbgothic
mdp.39076002194368,9926721,23916790,,"Seaman, Augusta Huiell,",New York;C,1921,1879,1921,,Paper mone,The dragon's secret,us,f,teamred | locdetmyst | juvenile | drop
23375,1719,,,"McCaffrey, Anne,",New York Ballantine Books 1990,1990,,1990,,Fiction;Science fiction;,Pegasus in flight,us,,chiscifi
chekhovsafetymatch,,,,"Chekhov, Anton,",,1909,1860,1884,,,The Safety Match,ru,m,teamred | lockandkey | stew
11907,,,,"Crispin, Edmund,",London V. ,1950,1921,1950,,"Fen, Gerva",Frequent hearses,uk,m,teamblack | chimyst
21088,,,,"Davis, Dorothy Salisbury,",New York C,1973,1916,1973,,Mystery fi,The little brothers,us,f,chirandom | teamblack | chimyst
ucm.5324200594,9654708,,,"Scott, Walter,",Paris;Baud,1838,1771,1821,,,Kenilworth,uk,m,teamred | random
uc1.b287473,5232730,13352959,PR5115.O3N4,"Opie, Amelia Alderson,",London;Longman;1818.,1818,1769,1818,v. 1,,New tales,uk,f,teamblack | random
10490,,,,"Gellhorn, Martha,",London Put,1936,1908,1936,,,The trouble I've seen,us,f,chirandom | teamred
uc2.ark+=13960=t4wh2p202,325094,10190007,PZ3.W584S,"White, James,","Philadelphia;E. L. Carey & A. Hart;Baltimore;Carey, Hart & co.;1834.",1834,,1834,,,Some passages in the life of Sir Frizzle Pumpkin,us,m,teamblack | random
nyp.33433081958500,8676577,3502928,,"Mercier, Louis-S?bastien,",Liverpool;,1802,1740,1771,,Utopias in,Memoirs of the year two t,fr,m,teamblack | anatscifi
nyp.33433075765705,8667110,3124458,,"Pemberton, Max,",London;War,1894,1863,1894,,Fiction;Je,Jewel mysteries I have kn,uk,m,det100 | teamblack
nyp.33433074949615,8664711,16940711,,"Cresswell, Clarice M.",New York;D,1915,,1915,,,The making and breaking o,us,m,teamred | random
njp.32101068784923,8975159,7907741,,"Pinkerton, Allan,",New York;D,1900,1819,1886,,Correspond,Professional thieves and ,us,m,teamblack | locdetective | drop
nyp.33433082170576,6155929,11601574,,"Arthur, T. S.",Philadelph,1847,1809,1847,,,Lovers and husbands,us,m,teamred | random
4458,,,,"Lindsay, Vachel,",New York M,1920,1879,1920,,Springfiel,The golden book of Spring,us,m,chiutopia | teamblack
uc2.ark+=13960=t3707xt9q,7671080,4280505,,"Rinehart, Mary Roberts,",New York :,1908,1876,1908,,,The circular staircase,us,f,teamred | det100 | locdetmyst
22029,,,,"Wilcox, Collin,",New York R,1982,1924,1982,,"Hastings, ",Stalking horse,us,m,teamblack | chimyst | stew
njp.32101067344661,8668910,37262147,,"Le Fanu, Joseph Sheridan,",Philadelph,1871,1814,1871,,Irish fict,Checkmate,uk,m,teamred | det100
24091,646,,,"Patchett, Ann,",Boston Houghton Mifflin Co. 1994,1994,1963,1994,,Fiction;Domestic fiction;Fathers and sons;Memphis;African American musicians;Tennessee;Fiction;Race relations ; Fiction,Taft,us,f,chirandom
uc2.ark+=13960=t40r9p16h,242133,3667675,,"Newbolt, Henry John,",Edinburgh;,1909,1862,1909,,History;Fi,The new June,uk,m,teamblack | random
4485,,,,"Raine, William MacLeod,",New York G,1920,1871,1920,,,Oh: you Tex!,us,m,chirandom | teamred
11098,,,,"Lessing, Doris,",New York C,1950,1919,1950,,Murder;Mys,The grass is singing,uk,f,chirandom | teamred | chimyst | stew
nyp.33433076024060,8690139,16402623,PZ3.O815 #b Se,"Osborne, Duffield,",New York;L,1900,1858,1900,,Science fi,The secret of the crater,us,m,teamred | locscifi | stew
uc2.ark+=13960=t2h70dt42,7688203,13324493,,"Gibbon, Charles,",London;Sam,1888,1843,1888,v.1,Fiction;De,Beyond compare,,m,teamred | locdetmyst
njp.32101068138443,8967329,2110206,,"Bradshaw, William R.",New York;J,1892,1851,1892,,Science fi,The goddess of Atvatabar,us,m,teamblack | locscifi
21362,,,,"Rice, Anne",New York: ,1976,1941,1976,,Vampires;L,Interview with the vampir,us,f,teamblack | pbgothic
11203,,,,"Mirrlees, Hope,",New York A,1927,1887,1927,,Fantasy fi,Lud-in-the-Mist,uk,f,chifantasy | teamblack
21845,,,,"Harris, Thomas",New York: ,1981,1940,1981,,Government,Red dragon,us,m,chimyst | pbgothic | teamred
spielhagenskeleton,,,,"Spielhagen, Friedrich,",,1909,1829,1871,,,The Skeleton in the House,ge,m,teamred | lockandkey | stew
uiuo.ark+=13960=t3xs6cp6m,8722931,13323844,,"Young, Mary Julia.",London;Printed by D.N. Shury for Crosby and Hughes;1803.,1803,1770,1803,v.2,,"Right and wrong; or, The kinsmen of Naples",uk,f,teamred | stangothic | stew
uc2.ark+=13960=t9571nb3d,7700283,5315288,PZ3.K614H,"Kingsley, Charles,",Boston;Tic,1866,1819,1866,,History;To,Hereward,uk,m,teamblack | random
23764,1192,,,"Card, Orson Scott,",New York Harper & Bros. 1992,1992,1951,1992,,"Occult fiction;Fiction;Paranormal fiction;Moving, Household;Fiction;Missing children;Families;North Carolina",Lost boys,us,m,chirandom
4514,,,,"Bennett, John,",New York C,1921,1865,1921,,Mothers an,Madame Margot,us,m,teamred | chifantasy
11121,,,,"Fletcher, J. S.",New York; ,1924,1863,1924,,Mystery fi,The safety pin,uk,m,teamblack | chimyst
njp.32101068784931,8975160,6383208,,"Pinkerton, Allan,",New York;G,1900,1819,1878,,Correspond,Criminal reminiscences an,us,m,teamblack | locdetective | drop
24690,607,,,"Hopkinson, Nalo,",New York Warner Books 1998,1998,1960,1998,,"Science fiction;Fiction;Toronto;Obeah (Cult);Ontario;Fiction;Future, The, in popular culture;Inner cities",Brown girl in the ring,us,f,chiscifi | chirandom
nyp.33433074880075,8666639,13325535,,"Marryat, Florence,",New York;H,1871,1837,1871,,English fi,Her lord and master,uk,f,teamblack | random
wu.89069113231,8995075,37709241,,"Bangs, John Kendrick,",New York;H,1898,1862,1898,,Ghost stor,Ghosts I have met and som,us,m,teamred | locghost | stew
wu.89099780959,,,,"Ouida,",Philadelphia,1877,1839,1865,,,Strathmore,uk,f,teamred | sensation | stew
uc2.ark+=13960=t0pr7n71q,1463577,296462,PZ1.H31Lo,"Hawthorne, Julian,",New York;T,1909,1846,1909,v.9,,The lock and key library:,us,m,det100 | teamblack | stew
uiuo.ark+=13960=t6251zn27,8719830,6715887,,"Cuthbertson, Catherine.",London;Printed for George Robinson;1810.,1810,1780,1810,v.3,,Forest of Montalbano,uk,f,teamblack | stangothic
11664,,,,"Shute, Nevil,",New York: ,1940,1899,1940,,"World War,",Landfall,uk,m,chirandom | teamblack
10723,,,,"Queen, Ellery,",Boston Lit,1943,,1943,,Mystery fi,There was an old woman,us,m,teamred | det100 | chimyst | cozy | stew
mdp.39076006220961,9913820,4238315,,"Bront?, Charlotte,",Edinburgh;,1907,1816,1847,v.1,,Jane Eyre,uk,f,teamred | pbgothic
